south_north,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
47,3.145146,3.2636585,3.2355802,3.5484893,3.6127822,4.2849917,4.5250945,4.486696,4.0574913,4.0480742,3.5379624,3.2692325,3.0497313,3.0934992,3.64959,3.6357388,2.5056906,1.995992,2.1420276,1.8121104,2.623928,3.2819479,3.0709355,2.6836705,2.2037334,1.8252121,1.4776485,1.8292207,2.092447,1.8207543,1.383307,2.0647848,2.679904,2.9513128,3.1701832,3.076844,3.1771767,3.4200366,3.4843478,3.528258,3.5410516,3.619206,3.8868866,3.9246106,3.5784497,3.494369,3.6529872,3.6521862,3.729145,3.8122983,3.6051514,3.3074267,3.1373508,3.1442885,2.9443448,2.9277122,2.8679063,2.9799168,2.7772446,2.4167523,2.2173905,2.1712132,1.9763938,1.8541315,1.8995278,2.1316922,2.2690244,2.345888,2.1877685,2.180895,2.1565704,1.9796371,2.0750105,1.8819653,1.2349675,1.0906888,0.95837104,1.7188497,2.1188931,2.0896208,2.4580882,2.3717039,1.7519727,2.0640543,2.8437238,1.48853,0.89381814,1.4086895,2.1087406,1.8844146,1.8314791,2.650721,1.4600149,0.7903939,1.7379148,2.6308913,3.1940014,3.292344,2.3355203,2.1367216,1.1677611,0.8065661,1.5142447,1.6133084,2.1438577,2.463631,2.5567763,2.7900913,2.6691053,2.2926831,2.3797758,2.828915,2.3787825,1.9416797,1.5560039,1.8491007,1.9434896,2.1104755,2.711105,3.0024545,2.9290617,2.9066336,2.5563433,2.4122813,2.1688492,1.8971168,1.6986376,1.5407636,1.4799311,1.6497972,1.7185348,1.7773794,1.7189555,1.9383489,3.5519252,3.0388649,2.7258482,2.8423836,3.208526,3.6082635,4.010174,4.4014826,4.91022,5.291236,5.5174537,5.7477593,5.9097095,6.0971737,6.204468,6.330367,6.385434,6.404044,6.338462,6.3261113,6.3178678,6.342428,6.420919,6.5333524,6.414816,6.4173636,6.437847,6.394383,6.410195,6.344683,6.470739,6.706997,6.7711115,6.829804,6.906559,6.9157734,7.017079,7.2904243,7.5611796,7.62547,7.6048574,7.6301203,7.7063055,7.765563,7.7987304,7.793709,7.8614936,7.917223,8.061925,8.072716,8.186203,8.369393,8.134738,9.359188,9.3975525,9.123045,8.487105
48,2.8581464,2.938764,3.3826575,3.4100094,4.178903,4.389405,4.6819606,4.618299,4.6444216,4.7879763,4.5490966,4.1639023,3.5976825,3.0669088,3.573965,4.0127964,3.2948296,2.876075,3.0652058,2.7439563,1.7786132,1.9551659,2.3346305,2.3139625,1.9221047,1.8485929,2.0765162,2.1696188,2.0246394,1.938363,1.6228993,1.8248361,2.4451587,3.1096838,3.4863334,3.2392073,3.1086793,3.4893415,3.6467094,3.6094813,3.5859725,3.5875216,3.7929115,3.9618156,3.776969,3.5866492,3.5743992,3.546858,3.5768526,3.6772354,3.2345667,3.118727,2.7349396,2.86396,2.4933028,2.7019453,2.7918155,2.8293195,2.5985336,2.5899796,2.5597756,2.5853486,2.5034535,2.2726228,2.1450858,2.2443976,2.2878773,2.1705608,2.2224104,2.1268902,2.0822206,1.6552397,2.0743752,2.0979452,1.3831526,1.194749,1.3696651,1.8598336,2.6275623,1.900978,2.549011,2.8951268,2.1095536,2.2273386,2.9264889,2.145264,1.1862193,1.2484906,1.4939342,1.1159586,1.738116,2.3015165,2.1718974,0.61109513,1.0799642,2.0812845,2.889369,3.642237,3.447279,2.1584299,0.73201483,1.6718553,2.4543946,2.3842435,2.5067108,2.6681557,2.5836895,2.1809242,2.3006835,2.1548648,2.225055,2.3469512,1.786478,1.4719939,1.2880695,2.0318289,2.052179,2.1593306,2.9058611,3.166345,2.9677656,2.5867543,2.2963824,2.2659385,2.1416092,1.8496668,1.807008,1.8815341,2.0684001,1.7654969,1.9130925,1.7078962,1.6541477,1.2882507,2.065575,2.9989367,3.5447989,2.9100015,3.0761335,3.634243,4.118289,4.6138363,4.97175,5.301254,5.5772467,5.8351846,6.0825086,6.3367724,6.554853,6.4987955,6.5318294,6.5334387,6.5277357,6.5016894,6.443893,6.510117,6.636967,6.553179,6.386187,6.479154,6.6500764,6.5788116,6.514028,6.544297,6.673152,6.8029184,6.8661838,6.959093,7.077935,7.1238146,7.195526,7.39916,7.6113844,7.684746,7.701864,7.7634354,7.8547955,7.909234,7.9247684,7.8804517,7.926458,7.9872,8.135618,8.146862,8.245894,8.42931,8.180217,9.4170885,9.491839,9.218843,8.518479
49,2.574097,2.397793,2.8705351,3.5016816,3.8262703,4.354339,4.5766134,4.77551,4.8374486,4.4602685,4.263615,4.1772914,3.7771583,2.9755063,3.0037384,3.8128142,3.808974,3.6837358,3.5672524,3.445057,2.6203337,1.7207421,1.8281189,1.9742261,2.089785,2.2355561,2.5277295,2.3339798,1.7652261,1.9308777,1.9644825,1.8822752,2.0731654,2.9671721,3.6598086,3.525149,3.2138004,3.500359,3.7716615,3.751075,3.77678,3.7738302,3.8079894,3.954653,3.8650725,3.6086838,3.4927452,3.4754512,3.360166,3.3274853,2.9032688,2.7860413,2.6000042,2.7459362,2.3949318,2.6575599,2.8045225,2.8410628,2.6429367,2.490816,2.49848,2.2317312,2.0907283,2.4084795,2.5701354,2.177547,1.9080817,1.8132377,1.9756453,1.9721864,2.139796,1.9825422,1.8704872,2.0578249,1.5829076,1.4467145,1.6541467,1.8336864,2.3383243,1.7610642,2.5450861,2.8799992,2.374135,1.986587,2.5172408,2.4898968,1.5234699,1.7916082,2.0429742,2.1884673,2.1558173,2.3658915,1.9530196,2.3464763,1.5741044,2.028885,2.3635876,3.0177085,3.1809976,2.3399704,1.3190156,1.7835289,2.227045,2.9745896,3.2072804,2.9478254,2.581205,2.4612782,2.182275,2.3764207,2.131361,2.1855783,1.3988471,1.4925549,1.4790938,1.9109983,2.1948714,2.5265908,2.8636422,2.780058,2.662041,2.381723,2.377791,2.2655346,2.4801135,2.4145014,2.6311102,2.5773475,2.3957546,2.1710203,2.253984,2.0153859,1.7223283,1.3267581,1.0848919,1.8319006,3.7502458,3.6807694,3.99117,3.581481,3.9327178,4.435535,4.8706045,5.1375227,5.393266,5.7296352,6.072569,6.298314,6.6654463,6.646432,6.5610023,6.6531167,6.706544,6.714499,6.676184,6.6430535,6.8406835,6.824487,6.5877895,6.5714293,6.742636,6.745096,6.6997447,6.7662735,6.9019017,6.9639454,6.9834924,7.081684,7.213567,7.3409815,7.414015,7.540958,7.6870937,7.761348,7.8065577,7.8741183,7.9704547,8.03626,8.056892,7.9966764,7.995033,8.038075,8.190994,8.203809,8.282912,8.461699,8.23813,9.500725,9.628606,9.343289,8.591039
50,2.4011111,2.3342245,2.9369338,3.3345587,3.651189,4.0176806,4.356186,4.2474065,4.2837963,4.442004,4.0482187,3.8474796,3.7280862,3.7294016,3.6823132,3.9086707,4.338955,3.5816667,3.177976,3.3222718,3.5255115,2.3140116,1.3888748,1.5766872,2.0902143,2.430529,2.8511825,2.6805232,2.224728,2.0019412,2.0919755,2.0005467,2.080063,2.6255121,3.5478318,3.8343854,3.5177681,3.511234,3.768151,3.8209164,3.8984714,4.067817,4.0976176,4.1607594,3.884571,3.622085,3.5237494,3.4047987,3.2066925,3.0302231,2.940496,3.0062697,2.7545886,2.9324057,2.5499444,3.093094,2.898465,3.1494653,2.5936227,2.720998,2.831084,2.486428,2.1214423,2.354515,2.434106,1.855399,1.5378343,1.834556,1.9841932,2.2474875,2.1774096,2.103367,1.5017847,1.7861631,2.1097012,1.8972093,1.8334796,1.8228453,1.9521892,2.0112724,2.1460001,2.5177035,2.510038,2.0407743,2.3368778,2.7056339,2.6618223,2.48133,2.0230856,1.8727642,1.8968147,1.462642,1.853001,2.190751,1.3551714,1.585103,2.0633183,2.4284644,2.5788298,2.1034255,1.888461,2.4458337,2.7702162,2.8388293,3.3190749,2.4659567,2.367626,2.3443632,2.3693373,1.9542515,2.0389633,2.0375292,1.7558292,1.8651412,2.1448674,2.1843626,2.818959,2.8519914,2.6382482,2.388799,2.5156765,2.5855436,2.687538,2.199654,2.4347405,2.4034324,2.6497824,2.6711483,2.5419102,2.3487859,2.4134505,2.1749547,1.5320376,1.4538724,1.7809348,1.3642348,2.4549067,4.009539,4.280696,3.9107742,4.3608713,4.87351,4.8943863,5.085219,5.30535,5.76508,6.1676426,6.405809,6.620165,6.714133,6.6399245,6.8312955,6.868895,6.873938,6.862849,6.7501225,6.827096,6.977418,6.92445,6.772443,6.7590494,6.8141127,6.873693,6.9765816,7.093229,7.1444306,7.1626396,7.2492423,7.3783975,7.5475883,7.661691,7.7330747,7.819093,7.881275,7.905997,7.9461327,8.039141,8.128661,8.18955,8.16359,8.125383,8.111106,8.243341,8.264437,8.35521,8.551716,8.355924,9.614527,9.797777,9.52783,8.654001
51,2.3902006,2.328737,2.6440136,3.0497336,3.3867824,3.7903059,4.0588703,3.7755837,3.7420957,4.1994305,4.508586,3.832323,4.0714517,4.164983,4.541087,4.426327,4.052547,2.8442647,2.2424047,2.8310168,3.6894572,2.9431493,1.9210379,1.498925,2.2519977,2.495293,2.6774542,2.6431382,2.3615966,2.1475015,1.921682,2.1584997,2.343555,2.4843884,3.1204329,3.9146068,3.998511,3.7725844,3.7364538,3.8137176,3.86955,3.9464262,4.026765,4.2303634,3.9642062,3.5970154,3.4799263,3.375541,3.1697242,2.9854476,2.9784756,3.1243918,2.8118868,3.1640587,2.833056,2.898161,3.1107774,3.327216,3.258119,2.9282475,2.48956,2.192423,1.7649783,1.9024992,1.6566746,1.606187,1.9563476,2.602318,2.4328191,2.009535,1.7241737,1.5486083,1.8330044,1.7139863,2.3723948,2.3024697,2.0796337,1.841323,1.7009635,2.078565,2.1252449,2.213767,2.5066082,2.3613043,2.478017,2.3831291,2.2546852,2.6084788,3.0244083,3.2632198,2.200587,2.421139,1.8056219,0.8555684,0.84774125,1.3087225,1.189324,1.8849318,2.0170255,2.051797,2.604813,2.511533,2.8505304,2.7874477,2.9919639,2.6909435,2.3516622,2.1388047,1.9565351,1.8596324,2.1898692,2.4595013,2.4095838,2.6491678,3.1057427,2.9534624,3.048275,2.9140615,2.7671306,2.5126357,2.5536914,2.5801446,2.5724149,2.3847709,2.0581117,2.2934983,2.491401,2.5799594,2.4927773,2.5670662,2.4478629,2.3598642,2.179806,2.2403185,2.563755,3.1037793,2.0012107,2.4957094,2.7132914,3.946553,4.175414,4.7640486,5.40509,5.3440623,5.473499,5.986937,6.350771,6.5125666,6.7906065,6.79604,6.809961,6.9655437,6.9923096,6.999531,6.9985595,6.8399663,6.7003284,6.847589,7.082466,7.0637636,6.9429474,6.974856,7.09331,7.17694,7.2545676,7.3625937,7.4201217,7.45492,7.5791407,7.7611775,7.9017825,7.9819784,8.048176,8.075388,8.04263,8.035632,8.12142,8.222715,8.306975,8.338442,8.31314,8.258429,8.344346,8.386873,8.469445,8.706051,8.534587,9.737986,9.94913,9.703597,8.793458
52,2.4597788,2.2640686,2.5862215,2.9437013,3.2253923,3.5336704,3.6996403,3.6023169,3.4959214,3.9170494,4.3780155,4.3521185,3.9174266,4.1230803,4.098156,4.2933884,3.447286,2.485453,2.1273117,2.5061207,3.244069,3.2406397,2.4436936,1.5704497,2.4209805,2.4452217,2.232863,2.2140877,2.276665,2.4477482,2.2932587,2.409956,2.7395813,2.6078475,2.7775743,3.5972297,4.321269,4.2152386,3.90751,3.864792,3.939686,4.0054874,4.043546,4.226111,4.107815,3.6946046,3.3819058,3.3281684,3.2067928,3.0022864,2.9718664,3.0283816,3.0709007,2.9650369,2.9129195,2.6123748,3.0632322,3.3389878,3.4454696,2.782399,2.2718163,1.9655904,1.928802,1.6789237,1.5681663,1.8687558,2.122987,2.3940892,2.3835516,2.1090639,1.7442967,1.8125503,2.2403235,2.1970708,2.6610415,2.5875924,1.9112166,1.5840434,1.4118483,1.5653615,2.1003792,2.262531,2.664526,2.6288748,2.369892,2.5299127,1.9633732,1.392552,2.295553,3.617988,4.159088,3.5744777,1.8750832,0.5786844,1.6153997,0.5840858,1.634455,1.8272007,2.2403736,1.7530816,1.9676342,1.7962455,2.137758,2.2212403,2.3683577,2.6859298,2.4517088,2.162027,2.2327058,2.1772146,2.2623034,2.8140109,2.6687162,3.2894614,3.229397,3.2708356,3.2590358,3.282978,2.9128568,2.5794237,2.5560222,2.4565632,2.6604667,2.3127596,2.1033285,2.581353,2.5556543,2.3211236,2.383122,2.547313,2.3375082,2.2494452,2.4382129,2.8240035,2.8210855,2.7319574,2.6902103,1.9593582,1.994478,2.685736,3.0139647,2.3617458,4.5875306,5.779314,5.881861,6.2411113,6.55848,6.6079655,6.8818636,6.8786454,6.836323,6.9807763,7.0063415,7.0566373,7.0472193,6.9542685,6.8524904,6.899293,7.1545353,7.2727914,7.2220154,7.275935,7.402432,7.476792,7.511654,7.6043525,7.690178,7.7349052,7.8597283,8.020779,8.136505,8.205663,8.273736,8.310485,8.271755,8.229876,8.280501,8.3671255,8.447902,8.499041,8.52867,8.503173,8.551206,8.5918665,8.631067,8.860768,8.696458,9.809937,10.074712,9.868266,8.952653
53,2.590239,2.3623984,2.599733,2.7882016,3.0611742,3.4214146,3.6333346,3.6594553,3.722647,3.7582626,3.9244409,4.334366,4.0237923,3.856574,4.186081,4.685937,3.5130253,2.5605638,2.5001574,2.3965588,3.152128,2.9248555,2.593177,1.8869358,2.7096055,2.547475,2.2264242,2.256893,2.5684261,2.9163435,2.6740952,2.7875242,2.8337653,2.8049684,2.7507477,3.1019275,4.145343,4.4933977,4.1733274,4.0264883,4.0787086,4.1995354,4.1468353,3.7115405,3.9525495,3.7658496,3.5657158,3.2728398,3.1815808,2.9868572,3.0241647,3.1465614,3.1971426,2.945261,2.8573098,2.6150124,2.8922899,2.7895293,3.2347686,2.6260967,2.4511733,2.2432313,2.3142295,1.9041262,2.046301,2.473937,2.5357227,2.4177256,2.5028985,2.3015516,2.08148,2.2496533,2.4464252,2.414861,2.705687,2.6334636,1.8535978,1.5504262,0.97798204,0.8122358,1.969249,2.9420056,3.012458,2.9152453,2.4939528,2.2990456,1.7253515,1.7147862,1.9041591,2.1032004,3.1517487,3.531498,2.764536,1.6590633,1.0365283,0.96264005,2.3538654,0.6550825,2.436964,2.5902033,1.4838778,1.4863294,1.2378256,1.7399106,2.014509,2.6891646,2.7502115,2.4254608,2.445641,2.687408,2.481031,2.8915248,2.808295,3.4404593,3.164227,3.329906,3.3630779,2.8937392,2.4090652,2.5326877,2.774739,2.5685298,2.2715302,2.2234437,2.3134663,2.4579315,2.5843797,2.4161115,2.6139154,2.488538,2.3374991,2.684901,3.0583975,3.0741181,2.6825259,2.867778,2.7513287,2.760942,2.902413,2.0478792,2.7166147,1.672742,2.6847322,5.946156,6.2509313,6.4298606,6.6132994,6.7490425,6.932589,6.993294,6.903791,6.886876,6.941596,7.050164,7.0771317,7.0305367,7.092089,7.2005568,7.3388577,7.455256,7.4743204,7.537962,7.681624,7.7951946,7.8361416,7.879351,7.9299293,8.019165,8.181294,8.310651,8.381119,8.440368,8.493251,8.534385,8.551424,8.520661,8.516691,8.538047,8.584281,8.634144,8.70605,8.717789,8.753726,8.79385,8.799251,8.994273,8.783412,9.786603,10.163331,10.019208,9.129201
54,2.6201005,2.377847,2.5466318,2.7351847,3.053765,3.452269,3.8278325,4.0010366,3.998048,4.0412755,4.193834,4.3194175,4.328064,4.0787463,4.3953724,4.518216,4.0375905,2.9389334,2.2111878,2.4691648,3.0583346,3.0925045,2.474316,2.4480493,3.105106,3.1279757,2.7643027,2.7685642,2.8619685,2.9170492,2.8224444,2.5724173,2.7530313,2.922541,2.9272547,2.7749374,3.6541061,4.448225,4.4415298,4.2162676,4.2057223,4.292272,4.1954403,3.9679482,3.922622,4.070464,3.7282977,3.4299862,3.24281,3.0421896,3.1300843,3.4022503,3.1244488,2.804859,2.6399298,2.7215552,2.880892,2.7397854,3.1274736,2.8785908,2.9958105,3.0176303,2.8127072,2.3599262,2.2909033,2.5680418,2.6177652,2.6657162,2.776489,2.547685,2.4561083,2.3130648,2.3702693,2.3136995,2.5662487,2.4095883,2.0127814,1.4778589,1.0317564,1.2736661,2.4838886,2.931432,2.9280102,2.758087,2.4553275,2.8561797,2.7554195,3.1008027,2.6498127,1.9152207,2.1588635,3.0059962,3.173744,2.2777634,1.9554133,2.5648391,2.1784837,2.363527,2.6200557,3.2646868,2.2020853,1.3530308,1.8915439,2.166027,3.2833738,3.1066954,3.224314,3.2033076,3.1813192,3.4628491,3.2087085,3.4198465,3.1020744,2.907333,3.3177776,3.4268804,2.9406667,2.6326437,2.4602427,2.5103858,2.8936212,2.8341646,2.84575,2.6848147,1.9812759,2.2375093,2.442269,2.4463527,2.6561852,2.3226402,2.8822455,3.4532998,3.2342768,3.0134566,2.812059,2.956503,2.8334653,2.5894122,2.6168633,2.679927,3.448755,3.9921048,2.0217683,5.8910046,6.4117517,6.608339,6.653984,6.7383265,6.8355675,7.008789,7.129562,7.0850515,7.1048436,7.20797,7.2898498,7.307191,7.3495913,7.4620156,7.6001477,7.739097,7.8553815,7.909128,8.003197,8.108181,8.155677,8.185072,8.21193,8.3053465,8.455405,8.594813,8.670349,8.704323,8.704357,8.738734,8.811704,8.814132,8.77819,8.74206,8.766757,8.814778,8.877202,8.870753,8.869997,8.92574,8.957294,9.137555,8.8656025,9.714714,10.14512,10.106036,9.269824
55,2.541886,2.326897,2.5537724,2.8150477,3.016723,3.4846,3.9339402,4.1011763,4.1186156,4.130634,4.2030396,4.409519,4.5173855,4.4420166,4.437658,4.797516,3.9726796,3.0797236,2.4253447,2.1741955,3.0790987,2.7611866,2.4215124,2.6830554,3.2723117,3.4418693,3.0774214,2.7083948,2.7489073,3.1650167,3.0786474,2.840764,2.755435,2.932482,2.9391718,2.6812124,3.31456,4.2657614,4.611725,4.4089985,4.3456163,4.4010634,4.342212,4.198607,4.109586,3.9897137,3.7352457,3.5744734,3.4175198,3.2497418,3.309436,3.5553849,3.2631907,2.9393125,2.7258613,2.8953547,3.2778378,3.2152815,3.1000817,3.0450783,3.1158555,3.0705159,3.1175232,3.0639849,2.926933,2.9944785,3.0391977,3.0271993,2.9398134,2.8660717,2.600995,2.3895373,2.374974,2.6949253,2.6842203,2.493282,2.1996813,2.0687544,2.035648,2.0260048,2.5522594,2.365715,1.9965231,2.1181114,2.30607,3.1447797,3.1226466,3.3220866,3.133576,3.0226972,2.2844982,1.8926431,2.8348007,3.2077494,3.099182,1.9405152,1.015237,1.242779,1.3056635,3.1529455,3.2375522,1.922764,2.0737526,2.7238302,3.2193663,3.6372104,3.8094149,3.9550436,3.8599627,3.7273805,3.535144,3.9099824,3.479619,3.106161,3.2349594,3.3742547,3.2600183,3.1240335,3.3425477,2.822594,2.6791685,2.6083643,2.900482,2.828731,2.32662,2.6350176,2.568857,2.7415612,2.915329,2.9218445,3.4152975,3.4184234,3.2505753,2.9936419,2.9169364,2.9766998,3.0277977,3.071846,3.0864024,2.6034524,3.0387964,5.7448344,4.183573,6.2403746,6.573664,6.6336646,6.607171,6.734256,6.8090234,6.989851,7.326635,7.392557,7.436095,7.558453,7.654306,7.688235,7.724286,7.767876,7.8316393,7.9910707,8.202199,8.306085,8.353109,8.417596,8.471951,8.486305,8.533851,8.657802,8.781665,8.900231,8.988741,9.015135,8.981086,8.969792,9.036385,9.060965,9.048436,9.0196495,9.026083,9.029503,9.060672,9.056239,9.050828,9.081045,9.104765,9.3251095,9.002216,9.732328,10.117674,10.14335,9.333955
56,2.4924126,2.3074217,2.55915,2.8198116,3.0496113,3.5384152,4.0067043,4.1985188,4.188352,4.183423,4.191047,4.3044267,4.473849,4.2283387,4.1125903,4.4257445,4.5574255,3.9242234,3.0360324,2.5383115,2.8160467,2.7953825,2.1487863,2.6687388,2.9479356,3.215243,3.0312784,2.792211,2.7542312,3.15339,3.3469503,3.111736,3.0054204,3.2754292,3.3396053,3.175675,3.1168303,4.0199947,4.7915416,4.7161646,4.519931,4.591818,4.5294094,4.3374763,4.16816,4.040655,3.8225656,3.6502113,3.5677485,3.5253844,3.6319096,3.7187326,3.6500218,3.211765,3.0979986,3.062555,3.2001767,3.2788835,3.024175,3.0532033,2.9537659,2.8173795,2.7414315,2.882453,3.073982,3.1308186,2.7991705,2.9241896,3.0413318,3.0063612,2.8676648,2.6595564,2.5089428,2.8547034,2.528175,2.3230994,2.5721514,2.7417526,2.3165064,2.0341973,2.2851071,2.2781744,1.5402473,1.8876047,1.999652,2.519063,2.7821953,3.2975695,3.118576,2.900607,2.6863074,2.6628296,2.9589798,3.4191387,3.2762997,3.0051458,1.9532459,1.5285013,2.1261945,1.537642,2.9308333,3.0052645,2.0050244,2.1870556,2.9753153,3.530995,3.8919084,4.4009395,4.4601893,4.265002,3.7965949,4.24663,4.4784737,3.7603843,3.2678366,3.7458267,3.850646,3.969638,3.815636,3.3000872,2.9978948,2.8581078,2.7696373,3.0419,3.2417758,3.3245938,3.206631,3.5742564,3.762499,3.880336,3.846937,3.423758,3.5340064,3.389814,3.502971,3.6759996,3.569012,3.5217519,3.5512276,3.3761303,2.4137278,6.883674,6.95256,6.760308,6.6675544,6.613279,6.5328007,6.735388,6.945084,7.0663753,7.3912096,7.5347943,7.5796375,7.702115,7.866085,7.9373097,7.990507,8.060163,8.093638,8.154658,8.291668,8.444047,8.559749,8.657255,8.768342,8.82304,8.842991,8.951155,9.106493,9.229073,9.300329,9.311058,9.284689,9.271564,9.308182,9.314307,9.313376,9.299251,9.285413,9.227454,9.199817,9.200143,9.262918,9.322693,9.2605295,9.513702,9.170436,9.843334,10.2098255,10.197176,9.403625
57,2.3883166,2.2778797,2.5410926,2.763242,3.190236,3.582644,3.9963331,4.2796082,4.335728,4.3214235,4.26517,4.2463236,4.3574057,4.363902,4.517836,4.403052,4.3347197,4.3921075,3.9945996,2.7943983,2.608245,2.7600384,1.9785528,2.9579363,3.4181788,3.1706083,2.9127011,2.7872229,3.0399008,3.2231455,3.002928,2.8642344,3.239844,3.8603504,3.646478,3.4294822,3.400122,3.8981228,4.527536,5.0495377,4.7299347,4.740273,4.709376,4.499734,4.318609,4.2598953,4.0687838,3.792979,3.6706727,3.6774235,3.8647175,3.9687753,3.6007488,3.4225278,3.0969932,3.484663,3.4566429,3.4778423,3.2892036,3.1900706,3.022435,2.8427324,2.836631,2.9181788,2.9434745,2.8940854,2.9266324,2.9945557,3.071106,3.2441044,3.3427417,2.9409642,2.5885937,2.6028852,2.2667117,2.5110338,3.0231478,3.0471914,2.2874212,2.0977044,2.4998522,2.4807158,1.5756643,1.6803033,2.2578907,2.5202959,2.693936,2.5457766,2.6825073,2.7391613,3.2296267,3.5875003,3.2534273,3.0156586,2.112131,2.2425673,2.63073,2.5551512,2.032978,1.6526943,1.5830429,3.5236633,2.246664,1.0306588,2.1646876,3.120335,3.9105237,4.566701,4.69429,4.1447406,3.8796961,3.7461772,4.73364,4.5036507,3.3953211,3.8978698,4.320288,4.107994,3.95979,3.5085423,3.3193383,2.808784,2.5722754,3.027689,3.105999,3.2572072,3.4349518,4.034952,4.270305,4.3230705,4.068448,3.7103763,3.8189802,4.1906805,4.3694115,4.385666,3.8515623,3.8174145,3.8016236,3.8345463,6.216519,8.5795355,7.8968067,7.331421,7.3435187,6.9177136,6.6704435,6.6926084,6.888889,6.986405,7.2233996,7.3969064,7.53909,7.698893,7.9328384,8.118708,8.190164,8.303167,8.41191,8.465619,8.517082,8.621142,8.775059,8.923088,9.082944,9.21298,9.200668,9.195063,9.331429,9.50624,9.623229,9.641099,9.569092,9.534565,9.602515,9.623644,9.593417,9.560321,9.52829,9.43499,9.350358,9.3171425,9.397966,9.530921,9.397549,9.642766,9.316569,9.916296,10.301569,10.319259,9.481266
58,2.2608213,2.2384026,2.63695,2.9710214,3.418167,3.7729974,3.8990886,4.1889696,4.3359165,4.357158,4.350463,4.324553,4.292112,4.3563,4.282814,4.3505554,3.803989,4.1859765,4.212904,3.670924,2.7476742,2.7091548,2.2134192,2.7827055,3.6836,3.0032632,2.7560086,2.9216874,2.825128,3.029728,2.7442927,2.6834514,3.3818734,3.990719,3.816675,3.7492952,3.6306,3.4012768,4.11498,4.91289,5.057458,4.821107,4.753085,4.5357203,4.4532766,4.4649677,4.291631,4.0061297,3.920383,3.9600794,4.095922,4.220785,3.7844965,3.4635296,3.5176578,3.6802268,3.8574963,3.6172276,3.3749309,3.2434013,3.123964,2.9767673,3.0159905,3.0211036,2.877635,2.7694924,2.8576612,2.9728463,3.0426714,3.346775,3.6645172,3.1515121,2.5784807,2.4233007,2.9716427,3.033592,3.3753994,2.9802437,2.351071,2.3458228,2.7300746,2.3602576,1.3845856,1.4709677,2.4038305,2.8604248,2.719082,2.568451,2.5142074,3.0041313,3.51297,3.350653,3.4428573,3.5381956,3.4161396,2.2103136,1.8475375,2.58483,2.7878938,2.9102533,1.4727842,2.132464,2.9291558,0.7301299,1.5147859,2.3594747,2.9972486,4.051246,4.2988477,3.7471004,3.3852124,3.7214284,4.8568015,4.8091216,4.941542,3.702766,4.1962614,4.0214477,3.6436388,3.5578234,3.3224509,2.8778143,2.9332724,3.8868825,3.3477035,3.2350094,3.6933296,4.2713857,4.4254103,4.516571,4.496411,4.32422,4.5965533,4.926738,4.9871173,4.8276005,4.484112,4.4885764,4.377712,5.039369,7.5912447,7.9045362,6.3202186,5.7190595,8.732993,7.6451464,6.8911233,6.64297,6.7219954,6.848642,7.162826,7.4570484,7.6977096,7.910359,8.150475,8.439862,8.606214,8.785666,8.9225445,8.975919,9.042779,9.095278,9.149598,9.224677,9.35667,9.526148,9.570691,9.548306,9.58604,9.730815,9.931547,10.01698,9.906798,9.76205,9.786596,9.875335,9.916449,9.904465,9.874237,9.775609,9.6456585,9.552647,9.537474,9.701806,9.580972,9.7862425,9.476257,10.039534,10.436734,10.432343,9.597886
