start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,8,4,4,2,2,6,2,26149.71338881564,6095.09,52969580.0,03h 47m 57s
Jan 02 2011,8,4,4,2,2,6,2,19819.23819781044,5925.17,38203476.0,03h 33m 05s
Jan 03 2011,8,4,4,2,2,6,2,18016.958105720034,6320.69,33332652.0,03h 30m 05s
Jan 04 2011,8,4,4,2,2,6,2,14263.514119481304,6981.68,23439280.0,02h 23m 53s
Jan 05 2011,8,4,4,2,2,6,2,14317.54371903072,6512.47,24249906.0,02h 24m 03s
Jan 06 2011,8,4,4,2,2,6,2,15311.887007215246,6614.36,26439554.0,03h 41m 20s
Jan 07 2011,8,4,4,2,2,6,2,20716.352910500882,6563.18,39310944.0,03h 43m 20s
Jan 08 2011,8,4,4,2,2,6,2,23564.46922225589,6365.71,46340288.0,01h 14m 12s
Jan 09 2011,8,4,4,2,2,6,2,22840.445635024775,7410.78,43039368.0,03h 47m 20s
Jan 10 2011,8,4,4,2,2,6,2,19591.234356750956,6807.9,36219716.0,02h 30m 46s
Jan 11 2011,8,4,4,2,2,6,2,14474.16549951377,6392.59,24692542.0,03h 51m 57s
Jan 12 2011,8,4,4,2,2,6,2,30620.736998561926,6732.58,62436016.0,01h 25m 05s
Jan 13 2011,8,4,4,2,2,6,2,21301.851486804917,7002.38,39913412.0,01h 50m 44s
Jan 14 2011,8,4,4,2,2,6,2,11651.981919817066,7940.61,15590476.0,01h 51m 50s
Jan 15 2011,8,4,4,2,2,6,2,15151.45693328558,7250.23,24905524.0,02h 13m 58s
Jan 16 2011,8,4,4,2,2,6,2,14744.201268077779,6766.68,24648506.0,03h 30m 19s
Jan 17 2011,8,4,4,2,2,6,2,17017.96408468773,6957.32,29720734.0,01h 17m 53s
Jan 18 2011,8,4,4,2,2,6,2,27834.09281009787,6860.98,55480596.0,01h 25m 43s
Jan 19 2011,8,4,4,2,2,6,2,17261.08616978432,7103.43,30014810.0,01h 56m 23s
Jan 20 2011,8,4,4,2,2,6,2,13874.675262915494,7317.95,21625790.0,02h 37m 08s
Jan 21 2011,8,4,4,2,2,6,2,24494.84722303739,7416.03,46618104.0,02h 14m 54s
Jan 22 2011,8,4,4,2,2,6,2,18813.063411982672,7255.81,33362924.0,02h 30m 17s
Jan 23 2011,8,4,4,2,2,6,2,20418.850085580438,7657.88,36511152.0,02h 03m 08s
Jan 24 2011,8,4,4,2,2,6,2,19811.151524505945,7758.34,34877328.0,01h 59m 10s
Jan 25 2011,8,4,4,2,2,6,2,16133.894660787617,7513.0,26505418.0,02h 14m 12s
Jan 26 2011,8,4,4,2,2,6,2,21659.276425591604,7065.54,40268048.0,01h 56m 38s
Jan 27 2011,8,4,4,2,2,6,2,20096.200705194766,7241.0,36250632.0,05h 47m 10s
Jan 28 2011,8,4,4,2,2,6,2,15226.732551346879,8008.36,23458428.0,01h 51m 28s
Jan 29 2011,8,4,4,2,2,6,2,15325.727724414399,7214.65,24907650.0,01h 52m 14s
Jan 30 2011,8,4,4,2,2,6,2,14267.555740355732,8096.62,20959186.0,02h 30m 45s
Jan 31 2011,8,4,4,2,2,6,2,18672.482997155388,8497.21,30718874.0,01h 49m 48s
Feb 01 2011,8,4,4,2,2,6,2,24182.45766548752,7734.14,44954696.0,02h 24m 18s
Feb 02 2011,8,4,4,2,2,6,2,50020.36128947459,7766.24,106111680.0,01h 53m 48s
Feb 03 2011,8,4,4,2,2,6,2,29496.085491823313,8308.23,56539120.0,03h 31m 07s
Feb 04 2011,8,4,4,2,2,6,2,26603.19371491994,7885.15,50317404.0,02h 13m 08s
Feb 05 2011,8,4,4,2,2,6,2,20879.92283016595,7910.72,36662292.0,05h 44m 07s
Feb 06 2011,8,4,4,2,2,6,2,22302.850276385623,8366.58,39246544.0,01h 23m 02s
Feb 07 2011,8,4,4,2,2,6,2,16651.249434709604,8841.66,25022420.0,01h 46m 48s
Feb 08 2011,8,4,4,2,2,6,2,33195.78741540633,8582.17,64615736.0,02h 14m 48s
Feb 09 2011,8,4,4,2,2,6,2,30049.729897237754,9646.51,55352988.0,02h 03m 48s
Feb 10 2011,8,4,4,2,2,6,2,22224.94688665212,8067.33,39354132.0,01h 42m 14s
Feb 11 2011,8,4,4,2,2,6,2,22156.096493302597,8569.94,38307236.0,01h 08m 47s
Feb 12 2011,8,4,4,2,2,6,2,29604.87148487894,8590.02,55878556.0,01h 41m 45s
Feb 13 2011,8,4,4,2,2,6,2,32670.025884641494,8056.24,63983020.0,01h 13m 32s
Feb 14 2011,8,4,4,2,2,6,2,43150.151414864544,8567.06,87919360.0,01h 48m 41s
Feb 15 2011,8,4,4,2,2,6,2,36246.47981082219,8846.17,71028656.0,01h 32m 56s
Feb 16 2011,8,4,4,2,2,6,2,28272.728521752088,10598.55,49106620.0,01h 45m 07s
Feb 17 2011,8,4,4,2,2,6,2,32368.24889214752,9320.44,60915992.0,01h 42m 17s
Feb 18 2011,8,4,4,2,2,6,2,42481.70552642425,9559.98,84422488.0,01h 52m 45s
Feb 19 2011,8,4,4,2,2,6,2,45562.25499948426,9487.0,91787576.0,01h 38m 30s
Feb 20 2011,8,4,4,2,2,6,2,35296.06829161271,9950.16,66592888.0,01h 53m 51s
Feb 21 2011,8,4,4,2,2,6,2,35087.21837110877,9522.64,66768744.0,02h 03m 23s
Feb 22 2011,8,4,4,2,2,6,2,24487.916843340114,9277.52,42002616.0,01h 47m 40s
Feb 23 2011,8,4,4,2,2,6,2,21652.6329755895,10560.88,32990742.0,01h 40m 03s
Feb 24 2011,8,4,4,2,2,6,2,21319.16614331466,10575.67,32103700.0,02h 02m 06s
Feb 25 2011,8,4,4,2,2,6,2,37942.438870794576,10588.6,71417432.0,02h 24m 44s
Feb 26 2011,8,4,4,2,2,6,2,21355.002891296932,9905.86,33222828.0,02h 04m 48s
Feb 27 2011,8,4,4,2,2,6,2,20388.427384751005,10556.76,29716500.0,02h 10m 04s
Feb 28 2011,8,4,4,2,2,6,2,37267.63054742537,10339.14,70044208.0,02h 16m 37s
Mar 01 2011,8,4,4,2,2,6,2,35749.09014799591,9309.33,68203936.0,02h 02m 50s
Mar 02 2011,8,4,4,2,2,6,2,28266.34276991207,9679.28,49741592.0,02h 03m 31s
Mar 03 2011,8,4,4,2,2,6,2,26913.927381199384,10503.25,44993652.0,01h 58m 48s
Mar 04 2011,8,4,4,2,2,6,2,31172.111449932054,12390.84,51622816.0,02h 38m 43s
Mar 05 2011,8,4,4,2,2,6,2,38150.288627069014,11185.32,70255536.0,02h 04m 27s
Mar 06 2011,8,4,4,2,2,6,2,33053.96265106895,11335.97,57824032.0,02h 21m 02s
Mar 07 2011,8,4,4,2,2,6,2,33717.00114027914,11103.33,59740524.0,02h 39m 14s
Mar 08 2011,8,4,4,2,2,6,2,23285.204386090096,11107.98,34925340.0,02h 29m 38s
Mar 09 2011,8,4,4,2,2,6,2,36745.69009631892,12605.54,64014200.0,02h 06m 00s
Mar 10 2011,8,4,4,2,2,6,2,35454.44689948662,10680.91,64405308.0,01h 43m 10s
Mar 11 2011,8,4,4,2,2,6,2,37726.75376169172,11332.95,68514112.0,02h 53m 40s
Mar 12 2011,8,4,4,2,2,6,2,30727.443651727684,10724.26,52970476.0,01h 20m 43s
Mar 13 2011,8,4,4,2,2,6,2,24009.08903585448,11791.74,34983576.0,01h 48m 04s
Mar 14 2011,8,4,4,2,2,6,2,20962.37190251195,11494.23,28234218.0,01h 54m 26s
Mar 15 2011,8,4,4,2,2,6,2,24164.06468542557,11673.93,35407292.0,01h 45m 34s
Mar 16 2011,8,4,4,2,2,6,2,24882.124396870917,12177.67,36080564.0,01h 44m 17s
Mar 17 2011,8,4,4,2,2,6,2,30625.96643534958,11758.96,50402512.0,03h 38m 45s
Mar 18 2011,8,4,4,2,2,6,2,30764.647015176608,11662.87,50831240.0,03h 40m 26s
Mar 19 2011,8,4,4,2,2,6,2,21788.510750151272,11376.77,30014906.0,01h 30m 51s
Mar 20 2011,8,4,4,2,2,6,2,27008.88606322759,12993.07,39225668.0,03h 38m 21s
Mar 21 2011,8,4,4,2,2,6,2,28580.352560220497,13177.47,42507008.0,03h 59m 43s
Mar 22 2011,8,4,4,2,2,6,2,32391.772528969363,12429.61,52888464.0,02h 02m 35s
Mar 23 2011,8,4,4,2,2,6,2,39045.57787521791,12986.87,67499968.0,02h 02m 17s
Mar 24 2011,8,4,4,2,2,6,2,29126.784222283004,12075.11,45661584.0,03h 43m 51s
Mar 25 2011,8,4,4,2,2,6,2,20187.459995408673,13380.36,21848580.0,01h 39m 43s
Mar 26 2011,8,4,4,2,2,6,2,24583.939052921,12861.41,33190106.0,03h 25m 22s
Mar 27 2011,8,4,4,2,2,6,2,29335.285065241776,12865.93,44355404.0,03h 48m 18s
Mar 28 2011,8,4,4,2,2,6,2,26290.92485935993,12940.77,36901916.0,03h 35m 06s
Mar 29 2011,8,4,4,2,2,6,2,21727.275310750007,13462.24,24965268.0,01h 37m 48s
Mar 30 2011,8,4,4,2,2,6,2,21999.68943484284,13844.32,24761762.0,01h 54m 23s
Mar 31 2011,8,4,4,2,2,6,2,24295.635383578578,14435.5,28934970.0,01h 57m 05s
Apr 01 2011,8,4,4,2,2,6,2,27991.946745185545,15547.24,35382752.0,03h 56m 27s
Apr 02 2011,8,4,4,2,2,6,2,29737.490549474154,13597.69,43311116.0,01h 43m 59s
Apr 03 2011,8,4,4,2,2,6,2,36057.348155457636,12638.57,60123560.0,01h 52m 56s
Apr 04 2011,8,4,4,2,2,6,2,47617.91652716944,13652.02,85402304.0,01h 25m 21s
Apr 05 2011,8,4,4,2,2,6,2,48192.97814238453,13755.57,86462744.0,02h 19m 59s
Apr 06 2011,8,4,4,2,2,6,2,32595.61092805076,13033.03,50857540.0,01h 13m 43s
Apr 07 2011,8,4,4,2,2,6,2,24400.688174351293,14860.85,27624546.0,01h 54m 14s
Apr 08 2011,8,4,4,2,2,6,2,23611.772332228305,14953.69,25463702.0,02h 02m 58s
Apr 09 2011,8,4,4,2,2,6,2,26104.28605017255,14678.58,31834152.0,01h 57m 08s
Apr 10 2011,8,4,4,2,2,6,2,34266.20685506372,14859.54,50711912.0,02h 00m 38s
Apr 11 2011,8,4,4,2,2,6,2,45362.51440128123,14402.65,77858256.0,02h 11m 53s
Apr 12 2011,8,4,4,2,2,6,2,34720.48745324087,12915.86,55606944.0,01h 43m 32s
Apr 13 2011,8,4,4,2,2,6,2,28781.318486642536,13567.72,40088832.0,02h 09m 55s
Apr 14 2011,8,4,4,2,2,6,2,26096.291800281808,13739.84,33274904.0,02h 14m 19s
Apr 15 2011,8,4,4,2,2,6,2,40300.655721446084,14930.3,64371672.0,01h 44m 24s
Apr 16 2011,8,4,4,2,2,6,2,54675.18377473667,15091.25,98012288.0,02h 31m 30s
Apr 17 2011,8,4,4,2,2,6,2,50600.302800778096,13784.86,90997024.0,02h 56m 24s
Apr 18 2011,8,4,4,2,2,6,2,30221.13039266818,16083.29,37751968.0,02h 31m 02s
Apr 19 2011,8,4,4,2,2,6,2,29535.026272615232,13808.66,40828388.0,01h 45m 22s
Apr 20 2011,8,4,4,2,2,6,2,37950.04342306516,16579.03,54813596.0,01h 57m 49s
Apr 21 2011,8,4,4,2,2,6,2,31373.366931414374,16642.84,38979908.0,01h 47m 20s
Apr 22 2011,8,4,4,2,2,6,2,30949.145544096522,15662.46,39958540.0,01h 43m 40s
Apr 23 2011,8,4,4,2,2,6,2,38169.1689469494,16887.79,54352768.0,02h 51m 01s
Apr 24 2011,8,4,4,2,2,6,2,28637.657069203815,16217.33,33088650.0,01h 34m 38s
Apr 25 2011,8,4,4,2,2,6,2,30175.727106741935,17329.13,34239720.0,01h 47m 41s
Apr 26 2011,8,4,4,2,2,6,2,43300.09436310919,18274.21,63204132.0,01h 22m 33s
Apr 27 2011,8,4,4,2,2,6,2,47539.89307575988,17652.97,74486192.0,02h 48m 52s
Apr 28 2011,8,4,4,2,2,6,2,45500.73086323982,15267.72,74721136.0,01h 42m 24s
Apr 29 2011,8,4,4,2,2,6,2,31816.341405231396,14244.63,44414364.0,01h 53m 19s
Apr 30 2011,8,4,4,2,2,6,2,32415.922954359725,14988.85,44124560.0,01h 38m 27s
May 01 2011,8,4,4,2,2,6,2,36263.26896358223,15997.17,50947632.0,05h 16m 05s
