start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,19,4,1,7,8,99,1,16959.83533662378,6434.19,30681956.0,03h 36m 26s
Jan 02 2011,19,4,1,7,8,99,1,15366.213184641041,6586.23,26667428.0,02h 10m 06s
Jan 03 2011,19,4,1,7,8,99,1,12980.061567426117,7169.52,20132576.0,02h 04m 46s
Jan 04 2011,19,4,1,7,8,99,1,10413.731934228093,7395.98,13697297.0,01h 21m 44s
Jan 05 2011,19,4,1,7,8,99,1,11984.276880674235,7871.14,16696705.0,05h 06m 36s
Jan 06 2011,19,4,1,7,8,99,1,12494.107283878184,7972.76,17734886.0,02h 10m 55s
Jan 07 2011,19,4,1,7,8,99,1,15435.79176075986,8461.79,23957868.0,02h 20m 00s
Jan 08 2011,19,4,1,7,8,99,1,20628.088601967644,9383.4,34865240.0,01h 07m 20s
Jan 09 2011,19,4,1,7,8,99,1,17772.3304336149,8144.97,29924446.0,03h 15m 37s
Jan 10 2011,19,4,1,7,8,99,1,12984.79369316344,7234.23,19918116.0,03h 34m 15s
Jan 11 2011,19,4,1,7,8,99,1,11883.51690168126,8236.33,15776451.0,01h 32m 18s
Jan 12 2011,19,4,1,7,8,99,1,22066.435061794768,9199.93,38435732.0,03h 38m 54s
Jan 13 2011,19,4,1,7,8,99,1,16277.960506165788,8529.7,25694888.0,05h 07m 18s
Jan 14 2011,19,4,1,7,8,99,1,8521.073554896146,8316.58,7598594.0,01h 52m 13s
Jan 15 2011,19,4,1,7,8,99,1,10057.823231919838,7749.28,12072412.0,03h 34m 55s
Jan 16 2011,19,4,1,7,8,99,1,11381.150984512024,8312.3,14322296.0,01h 41m 37s
Jan 17 2011,19,4,1,7,8,99,1,10833.5499129651,7161.12,14748673.0,01h 30m 46s
Jan 18 2011,19,4,1,7,8,99,1,19029.33117880533,7242.2,34024236.0,02h 09m 07s
Jan 19 2011,19,4,1,7,8,99,1,14589.6127138029,9886.72,19409052.0,01h 02m 59s
Jan 20 2011,19,4,1,7,8,99,1,10302.010037851891,8963.44,10623165.0,03h 32m 41s
Jan 21 2011,19,4,1,7,8,99,1,17691.216922790376,8416.07,28945278.0,01h 51m 04s
Jan 22 2011,19,4,1,7,8,99,1,14381.242755109804,8125.57,21509924.0,01h 30m 05s
Jan 23 2011,19,4,1,7,8,99,1,15414.444209239562,8197.12,23810058.0,01h 30m 35s
Jan 24 2011,19,4,1,7,8,99,1,13133.989870745212,9460.92,16395712.0,01h 42m 59s
Jan 25 2011,19,4,1,7,8,99,1,12310.574360668885,8998.1,15120741.0,01h 36m 16s
Jan 26 2011,19,4,1,7,8,99,1,18249.66133324088,8744.71,29552416.0,02h 04m 21s
Jan 27 2011,19,4,1,7,8,99,1,17945.843022394736,8947.52,28468654.0,01h 36m 28s
Jan 28 2011,19,4,1,7,8,99,1,10985.946823431539,9335.91,11310063.0,05h 12m 35s
Jan 29 2011,19,4,1,7,8,99,1,11834.418798483788,9861.03,12440744.0,03h 32m 05s
Jan 30 2011,19,4,1,7,8,99,1,11233.315815842161,10324.5,10226535.0,01h 49m 12s
Jan 31 2011,19,4,1,7,8,99,1,10579.464761090143,8577.68,11405110.0,01h 54m 26s
Feb 01 2011,19,4,1,7,8,99,1,14309.092265695755,7792.28,21455682.0,03h 35m 27s
Feb 02 2011,19,4,1,7,8,99,1,29281.98272544709,9218.62,54617256.0,01h 07m 09s
Feb 03 2011,19,4,1,7,8,99,1,18529.606040225262,9249.25,29025734.0,01h 51m 45s
