start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
May 19 2011,19,4,3,7,8,1,1
May 20 2011,19,4,3,7,8,1,1
May 21 2011,19,4,3,7,8,1,1
May 22 2011,19,4,3,7,8,1,1
May 23 2011,19,4,3,7,8,1,1
May 24 2011,19,4,3,7,8,1,1
May 25 2011,19,4,3,7,8,1,1
May 26 2011,19,4,3,7,8,1,1
May 27 2011,19,4,3,7,8,1,1
May 28 2011,19,4,3,7,8,1,1
May 29 2011,19,4,3,7,8,1,1
May 30 2011,19,4,3,7,8,1,1
May 31 2011,19,4,3,7,8,1,1
Jun 01 2011,19,4,3,7,8,1,1
Jun 02 2011,19,4,3,7,8,1,1
Jun 03 2011,19,4,3,7,8,1,1
Jun 04 2011,19,4,3,7,8,1,1
Jun 05 2011,19,4,3,7,8,1,1
Jun 06 2011,19,4,3,7,8,1,1
Jun 07 2011,19,4,3,7,8,1,1
Jun 08 2011,19,4,3,7,8,1,1
Jun 09 2011,19,4,3,7,8,1,1
Jun 10 2011,19,4,3,7,8,1,1
Jun 11 2011,19,4,3,7,8,1,1
Jun 12 2011,19,4,3,7,8,1,1
Jun 13 2011,19,4,3,7,8,1,1
Jun 14 2011,19,4,3,7,8,1,1
Jun 15 2011,19,4,3,7,8,1,1
Jun 16 2011,19,4,3,7,8,1,1
Jun 17 2011,19,4,3,7,8,1,1
Jun 18 2011,19,4,3,7,8,1,1
Jun 19 2011,19,4,3,7,8,1,1
Jun 20 2011,19,4,3,7,8,1,1
Jun 21 2011,19,4,3,7,8,1,1
Jun 22 2011,19,4,3,7,8,1,1
Jun 23 2011,19,4,3,7,8,1,1
Jun 24 2011,19,4,3,7,8,1,1
Jun 25 2011,19,4,3,7,8,1,1
Jun 26 2011,19,4,3,7,8,1,1
Jun 27 2011,19,4,3,7,8,1,1
Jun 28 2011,19,4,3,7,8,1,1
Jun 29 2011,19,4,3,7,8,1,1
Jun 30 2011,19,4,3,7,8,1,1
Jul 01 2011,19,4,3,7,8,1,1
Jul 02 2011,19,4,3,7,8,1,1
Jul 03 2011,19,4,3,7,8,1,1
Jul 04 2011,19,4,3,7,8,1,1
Jul 05 2011,19,4,3,7,8,1,1
Jul 06 2011,19,4,3,7,8,1,1
Jul 07 2011,19,4,3,7,8,1,1
Jul 08 2011,19,4,3,7,8,1,1
Jul 09 2011,19,4,3,7,8,1,1
Jul 10 2011,19,4,3,7,8,1,1
Jul 11 2011,19,4,3,7,8,1,1
Jul 12 2011,19,4,3,7,8,1,1
Jul 13 2011,19,4,3,7,8,1,1
Jul 14 2011,19,4,3,7,8,1,1
Jul 15 2011,19,4,3,7,8,1,1
Jul 16 2011,19,4,3,7,8,1,1
Jul 17 2011,19,4,3,7,8,1,1
Jul 18 2011,19,4,3,7,8,1,1
Jul 19 2011,19,4,3,7,8,1,1
Jul 20 2011,19,4,3,7,8,1,1
Jul 21 2011,19,4,3,7,8,1,1
Jul 22 2011,19,4,3,7,8,1,1
Jul 23 2011,19,4,3,7,8,1,1
Jul 24 2011,19,4,3,7,8,1,1
Jul 25 2011,19,4,3,7,8,1,1
Jul 26 2011,19,4,3,7,8,1,1
Jul 27 2011,19,4,3,7,8,1,1
Jul 28 2011,19,4,3,7,8,1,1
Jul 29 2011,19,4,3,7,8,1,1
Jul 30 2011,19,4,3,7,8,1,1
Jul 31 2011,19,4,3,7,8,1,1
Aug 01 2011,19,4,3,7,8,1,1
Aug 02 2011,19,4,3,7,8,1,1
Aug 03 2011,19,4,3,7,8,1,1
Aug 04 2011,19,4,3,7,8,1,1
Aug 05 2011,19,4,3,7,8,1,1
Aug 06 2011,19,4,3,7,8,1,1
Aug 07 2011,19,4,3,7,8,1,1
Aug 08 2011,19,4,3,7,8,1,1
Aug 09 2011,19,4,3,7,8,1,1
Aug 10 2011,19,4,3,7,8,1,1
Aug 11 2011,19,4,3,7,8,1,1
Aug 12 2011,19,4,3,7,8,1,1
Aug 13 2011,19,4,3,7,8,1,1
Aug 14 2011,19,4,3,7,8,1,1
Aug 15 2011,19,4,3,7,8,1,1
Aug 16 2011,19,4,3,7,8,1,1
Aug 17 2011,19,4,3,7,8,1,1
Aug 18 2011,19,4,3,7,8,1,1
Aug 19 2011,19,4,3,7,8,1,1
Aug 20 2011,19,4,3,7,8,1,1
Aug 21 2011,19,4,3,7,8,1,1
Aug 22 2011,19,4,3,7,8,1,1
Aug 23 2011,19,4,3,7,8,1,1
Aug 24 2011,19,4,3,7,8,1,1
Aug 25 2011,19,4,3,7,8,1,1
Aug 26 2011,19,4,3,7,8,1,1
Aug 27 2011,19,4,3,7,8,1,1
Aug 28 2011,19,4,3,7,8,1,1
Aug 29 2011,19,4,3,7,8,1,1
Aug 30 2011,19,4,3,7,8,1,1
Aug 31 2011,19,4,3,7,8,1,1
Sep 01 2011,19,4,3,7,8,1,1
Sep 02 2011,19,4,3,7,8,1,1
Sep 03 2011,19,4,3,7,8,1,1
Sep 04 2011,19,4,3,7,8,1,1
Sep 05 2011,19,4,3,7,8,1,1
Sep 06 2011,19,4,3,7,8,1,1
Sep 07 2011,19,4,3,7,8,1,1
Sep 08 2011,19,4,3,7,8,1,1
Sep 09 2011,19,4,3,7,8,1,1
Sep 10 2011,19,4,3,7,8,1,1
Sep 11 2011,19,4,3,7,8,1,1
Sep 12 2011,19,4,3,7,8,1,1
Sep 13 2011,19,4,3,7,8,1,1
Sep 14 2011,19,4,3,7,8,1,1
Sep 15 2011,19,4,3,7,8,1,1
Sep 16 2011,19,4,3,7,8,1,1
Sep 17 2011,19,4,3,7,8,1,1
Sep 18 2011,19,4,3,7,8,1,1
Sep 19 2011,19,4,3,7,8,1,1
Sep 20 2011,19,4,3,7,8,1,1
Sep 21 2011,19,4,3,7,8,1,1
Sep 22 2011,19,4,3,7,8,1,1
Sep 23 2011,19,4,3,7,8,1,1
Sep 24 2011,19,4,3,7,8,1,1
Sep 25 2011,19,4,3,7,8,1,1
Sep 26 2011,19,4,3,7,8,1,1
Sep 27 2011,19,4,3,7,8,1,1
Sep 28 2011,19,4,3,7,8,1,1
Sep 29 2011,19,4,3,7,8,1,1
Sep 30 2011,19,4,3,7,8,1,1
Oct 01 2011,19,4,3,7,8,1,1
Oct 02 2011,19,4,3,7,8,1,1
Oct 03 2011,19,4,3,7,8,1,1
Oct 04 2011,19,4,3,7,8,1,1
Oct 05 2011,19,4,3,7,8,1,1
Oct 06 2011,19,4,3,7,8,1,1
Oct 07 2011,19,4,3,7,8,1,1
Oct 08 2011,19,4,3,7,8,1,1
Oct 09 2011,19,4,3,7,8,1,1
Oct 10 2011,19,4,3,7,8,1,1
Oct 11 2011,19,4,3,7,8,1,1
Oct 12 2011,19,4,3,7,8,1,1
Oct 13 2011,19,4,3,7,8,1,1
Oct 14 2011,19,4,3,7,8,1,1
Oct 15 2011,19,4,3,7,8,1,1
Oct 16 2011,19,4,3,7,8,1,1
Oct 17 2011,19,4,3,7,8,1,1
Oct 18 2011,19,4,3,7,8,1,1
Oct 19 2011,19,4,3,7,8,1,1
Oct 20 2011,19,4,3,7,8,1,1
Oct 21 2011,19,4,3,7,8,1,1
Oct 22 2011,19,4,3,7,8,1,1
Oct 23 2011,19,4,3,7,8,1,1
Oct 24 2011,19,4,3,7,8,1,1
Oct 25 2011,19,4,3,7,8,1,1
Oct 26 2011,19,4,3,7,8,1,1
Oct 27 2011,19,4,3,7,8,1,1
Oct 28 2011,19,4,3,7,8,1,1
Oct 29 2011,19,4,3,7,8,1,1
Oct 30 2011,19,4,3,7,8,1,1
Oct 31 2011,19,4,3,7,8,1,1
Nov 01 2011,19,4,3,7,8,1,1
Nov 02 2011,19,4,3,7,8,1,1
Nov 03 2011,19,4,3,7,8,1,1
Nov 04 2011,19,4,3,7,8,1,1
Nov 05 2011,19,4,3,7,8,1,1
Nov 06 2011,19,4,3,7,8,1,1
Nov 07 2011,19,4,3,7,8,1,1
Nov 08 2011,19,4,3,7,8,1,1
Nov 09 2011,19,4,3,7,8,1,1
Nov 10 2011,19,4,3,7,8,1,1
Nov 11 2011,19,4,3,7,8,1,1
Nov 12 2011,19,4,3,7,8,1,1
Nov 13 2011,19,4,3,7,8,1,1
Nov 14 2011,19,4,3,7,8,1,1
Nov 15 2011,19,4,3,7,8,1,1
Nov 16 2011,19,4,3,7,8,1,1
Nov 17 2011,19,4,3,7,8,1,1
Nov 18 2011,19,4,3,7,8,1,1
Nov 19 2011,19,4,3,7,8,1,1
Nov 20 2011,19,4,3,7,8,1,1
Nov 21 2011,19,4,3,7,8,1,1
Nov 22 2011,19,4,3,7,8,1,1
Nov 23 2011,19,4,3,7,8,1,1
Nov 24 2011,19,4,3,7,8,1,1
Nov 25 2011,19,4,3,7,8,1,1
Nov 26 2011,19,4,3,7,8,1,1
Nov 27 2011,19,4,3,7,8,1,1
Nov 28 2011,19,4,3,7,8,1,1
Nov 29 2011,19,4,3,7,8,1,1
Nov 30 2011,19,4,3,7,8,1,1
Dec 01 2011,19,4,3,7,8,1,1
Dec 02 2011,19,4,3,7,8,1,1
Dec 03 2011,19,4,3,7,8,1,1
