start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,8,4,4,2,1,3,1,30119.490235536232,5948.75,62597016.0,01h 41m 08s
Jan 02 2011,8,4,4,2,1,3,1,22425.90685201157,6016.11,44248136.0,02h 37m 23s
Jan 03 2011,8,4,4,2,1,3,1,20659.77264190926,6434.93,39428252.0,02h 04m 57s
Jan 04 2011,8,4,4,2,1,3,1,15115.032161045532,6776.08,25763408.0,01h 42m 28s
Jan 05 2011,8,4,4,2,1,3,1,14990.036435388647,6608.61,25701060.0,03h 35m 37s
Jan 06 2011,8,4,4,2,1,3,1,16406.637158498765,6984.79,28482642.0,02h 40m 50s
Jan 07 2011,8,4,4,2,1,3,1,22979.299857772472,6674.97,44508616.0,03h 49m 34s
Jan 08 2011,8,4,4,2,1,3,1,27535.484936427325,6590.15,55418332.0,01h 25m 54s
Jan 09 2011,8,4,4,2,1,3,1,24321.204438275097,7451.76,46488268.0,01h 13m 10s
Jan 10 2011,8,4,4,2,1,3,1,20543.91534494608,7027.5,38148380.0,02h 14m 48s
Jan 11 2011,8,4,4,2,1,3,1,14902.006439173176,6305.58,25837732.0,03h 58m 00s
Jan 12 2011,8,4,4,2,1,3,1,32210.20999214887,6991.15,65814076.0,03h 56m 16s
Jan 13 2011,8,4,4,2,1,3,1,23197.607766327317,6596.88,45020508.0,01h 13m 31s
Jan 14 2011,8,4,4,2,1,3,1,11908.61869940983,7317.86,17142482.0,02h 32m 51s
Jan 15 2011,8,4,4,2,1,3,1,15092.120043155473,6919.63,25267028.0,02h 14m 42s
Jan 16 2011,8,4,4,2,1,3,1,16156.573931681643,6981.75,27669194.0,01h 45m 17s
Jan 17 2011,8,4,4,2,1,3,1,16852.50232522481,7283.27,28830828.0,05h 43m 44s
Jan 18 2011,8,4,4,2,1,3,1,29789.857578110103,7195.45,59604932.0,02h 08m 51s
Jan 19 2011,8,4,4,2,1,3,1,18223.33344698177,7201.82,32144892.0,03h 54m 00s
Jan 20 2011,8,4,4,2,1,3,1,14241.923412619473,7611.25,22044868.0,01h 45m 41s
Jan 21 2011,8,4,4,2,1,3,1,26545.288876049548,7862.9,50788984.0,05h 56m 58s
Jan 22 2011,8,4,4,2,1,3,1,20485.14434650144,7231.85,37363896.0,01h 50m 23s
Jan 23 2011,8,4,4,2,1,3,1,21162.586262205194,7522.24,38484944.0,01h 48m 41s
Jan 24 2011,8,4,4,2,1,3,1,20173.03422496125,7825.02,35631328.0,02h 38m 47s
Jan 25 2011,8,4,4,2,1,3,1,16909.7377755916,8354.09,27030124.0,03h 47m 02s
Jan 26 2011,8,4,4,2,1,3,1,21311.442010713574,7604.66,38598192.0,02h 00m 47s
Jan 27 2011,8,4,4,2,1,3,1,20171.398679448066,7282.21,36364076.0,01h 54m 56s
Jan 28 2011,8,4,4,2,1,3,1,16288.03958739035,8029.85,25940470.0,03h 42m 15s
Jan 29 2011,8,4,4,2,1,3,1,16165.816592993051,7470.17,26494586.0,01h 52m 31s
Jan 30 2011,8,4,4,2,1,3,1,14783.141601521944,8259.55,21922584.0,02h 02m 58s
Jan 31 2011,8,4,4,2,1,3,1,19727.28458824758,8569.91,33103508.0,01h 53m 55s
Feb 01 2011,8,4,4,2,1,3,1,23786.688481904665,7761.25,43973108.0,02h 10m 15s
Feb 02 2011,8,4,4,2,1,3,1,51565.75727140531,7862.42,109620824.0,02h 31m 15s
Feb 03 2011,8,4,4,2,1,3,1,31512.80403943485,8521.11,60977036.0,03h 34m 45s
Feb 04 2011,8,4,4,2,1,3,1,27435.418533609216,8042.89,52035260.0,01h 20m 22s
Feb 05 2011,8,4,4,2,1,3,1,21088.838586512167,7910.19,37158412.0,02h 05m 11s
Feb 06 2011,8,4,4,2,1,3,1,23453.77890866118,8673.96,41474388.0,01h 51m 41s
Feb 07 2011,8,4,4,2,1,3,1,16826.44014058344,9107.29,25003568.0,01h 53m 46s
Feb 08 2011,8,4,4,2,1,3,1,34772.92035388864,8879.99,67865952.0,01h 20m 22s
Feb 09 2011,8,4,4,2,1,3,1,34041.64255555153,9822.87,64525912.0,03h 29m 54s
Feb 10 2011,8,4,4,2,1,3,1,23649.887996722176,8262.34,42409836.0,01h 17m 49s
Feb 11 2011,8,4,4,2,1,3,1,21909.328213528694,8723.79,37467024.0,01h 42m 29s
Feb 12 2011,8,4,4,2,1,3,1,33461.46162392796,8882.68,64533756.0,01h 50m 37s
Feb 13 2011,8,4,4,2,1,3,1,34285.97140547655,8301.58,67403752.0,01h 31m 14s
Feb 14 2011,8,4,4,2,1,3,1,51522.508112550524,8814.48,107351936.0,01h 21m 16s
Feb 15 2011,8,4,4,2,1,3,1,38889.75908121458,8806.47,77361728.0,01h 31m 34s
