start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,8,4,1,7,8,1,1,16915.06935623895,5859.77,31426044.0,02h 15m 48s
Jan 02 2011,8,4,1,7,8,1,1,14758.390740633857,5926.64,26203948.0,01h 12m 19s
Jan 03 2011,8,4,1,7,8,1,1,12058.296366585542,6048.79,19610374.0,01h 44m 00s
Jan 04 2011,8,4,1,7,8,1,1,9909.74816336802,6509.2,13820212.0,02h 03m 14s
Jan 05 2011,8,4,1,7,8,1,1,10790.997582992162,6458.29,15970431.0,01h 46m 44s
Jan 06 2011,8,4,1,7,8,1,1,11381.102924429459,6745.87,16925132.0,02h 30m 13s
Jan 07 2011,8,4,1,7,8,1,1,13880.403905978621,6146.4,23727808.0,02h 19m 28s
Jan 08 2011,8,4,1,7,8,1,1,17143.496029078207,6763.72,30523234.0,01h 50m 46s
Jan 09 2011,8,4,1,7,8,1,1,16960.09571764799,6819.89,29984866.0,01h 57m 50s
Jan 10 2011,8,4,1,7,8,1,1,12707.865205445587,6891.28,19776644.0,02h 12m 07s
Jan 11 2011,8,4,1,7,8,1,1,10687.697587861181,6000.59,16306184.0,04h 02m 28s
Jan 12 2011,8,4,1,7,8,1,1,21851.928607060425,7651.17,40263072.0,04h 11m 56s
Jan 13 2011,8,4,1,7,8,1,1,15694.768597054255,7214.47,26300538.0,02h 34m 46s
Jan 14 2011,8,4,1,7,8,1,1,8189.825240411557,7629.37,7854620.0,01h 11m 10s
Jan 15 2011,8,4,1,7,8,1,1,9648.271068788112,7018.35,12211775.0,01h 52m 51s
Jan 16 2011,8,4,1,7,8,1,1,10144.178990232922,6642.73,13932351.0,02h 10m 15s
Jan 17 2011,8,4,1,7,8,1,1,10274.960487002194,6308.82,14725757.0,02h 30m 44s
Jan 18 2011,8,4,1,7,8,1,1,18394.74589237229,6228.02,34072484.0,02h 06m 15s
Jan 19 2011,8,4,1,7,8,1,1,12882.74608276965,7685.99,18741122.0,04h 02m 58s
Jan 20 2011,8,4,1,7,8,1,1,8935.062340246242,6786.64,10733780.0,01h 39m 23s
Jan 21 2011,8,4,1,7,8,1,1,17068.47361587104,7034.72,29601708.0,01h 20m 47s
Jan 22 2011,8,4,1,7,8,1,1,14003.046047193857,7059.58,22264062.0,03h 37m 46s
Jan 23 2011,8,4,1,7,8,1,1,14615.663796321202,7200.29,23464726.0,01h 47m 04s
Jan 24 2011,8,4,1,7,8,1,1,12162.804315227562,7868.38,16574557.0,01h 16m 09s
Jan 25 2011,8,4,1,7,8,1,1,11646.724808420553,7845.49,15348398.0,02h 38m 38s
Jan 26 2011,8,4,1,7,8,1,1,17560.843055124762,7874.46,29283932.0,02h 33m 55s
Jan 27 2011,8,4,1,7,8,1,1,17234.09244391647,7999.6,28272408.0,05h 57m 09s
Jan 28 2011,8,4,1,7,8,1,1,9977.792496191856,7817.75,11315993.0,01h 53m 18s
Jan 29 2011,8,4,1,7,8,1,1,10319.667564673466,7905.92,11945608.0,03h 56m 07s
Jan 30 2011,8,4,1,7,8,1,1,10230.81898619745,8891.49,10126738.0,02h 03m 52s
Jan 31 2011,8,4,1,7,8,1,1,9970.267306440459,7674.7,11400491.0,03h 51m 35s
Feb 01 2011,8,4,1,7,8,1,1,14435.047000238112,7124.2,22823038.0,04h 08m 46s
Feb 02 2011,8,4,1,7,8,1,1,27921.443413255605,8090.09,53203632.0,02h 30m 36s
Feb 03 2011,8,4,1,7,8,1,1,17848.652245027493,8367.81,28831488.0,01h 48m 45s
Feb 04 2011,8,4,1,7,8,1,1,15325.120222923448,8327.51,22866164.0,01h 46m 55s
Feb 05 2011,8,4,1,7,8,1,1,14474.887502635132,8529.35,20474582.0,02h 01m 42s
Feb 06 2011,8,4,1,7,8,1,1,16629.100458108504,9385.38,24137110.0,02h 17m 27s
Feb 07 2011,8,4,1,7,8,1,1,11126.267963015565,8927.45,11784564.0,03h 37m 21s
Feb 08 2011,8,4,1,7,8,1,1,21435.83540864657,8520.18,36839044.0,05h 45m 35s
Feb 09 2011,8,4,1,7,8,1,1,18007.437125806384,8453.2,28770132.0,03h 48m 39s
Feb 10 2011,8,4,1,7,8,1,1,16141.881378365058,7816.9,25347374.0,01h 51m 04s
Feb 11 2011,8,4,1,7,8,1,1,13917.659103601713,9061.79,17961108.0,01h 44m 28s
Feb 12 2011,8,4,1,7,8,1,1,19728.381503880388,9598.78,30785444.0,01h 45m 46s
Feb 13 2011,8,4,1,7,8,1,1,17859.446806925193,8700.91,27795252.0,01h 48m 29s
Feb 14 2011,8,4,1,7,8,1,1,25837.622937789005,9179.76,45849972.0,01h 46m 24s
Feb 15 2011,8,4,1,7,8,1,1,20349.424378172374,8927.48,33205832.0,01h 38m 26s
Feb 16 2011,8,4,1,7,8,1,1,16578.98079216957,12357.73,18411212.0,01h 42m 49s
Feb 17 2011,8,4,1,7,8,1,1,18198.717405348605,10247.59,25752028.0,01h 45m 42s
Feb 18 2011,8,4,1,7,8,1,1,27286.010817659855,10071.35,47528136.0,01h 58m 23s
Feb 19 2011,8,4,1,7,8,1,1,30124.771203972257,10074.71,54186144.0,02h 12m 42s
Feb 20 2011,8,4,1,7,8,1,1,19602.08503223799,9397.15,30337718.0,02h 12m 32s
Feb 21 2011,8,4,1,7,8,1,1,21060.942530969704,9019.7,34384448.0,01h 57m 20s
Feb 22 2011,8,4,1,7,8,1,1,17157.811397376096,9894.18,23558972.0,02h 12m 45s
Feb 23 2011,8,4,1,7,8,1,1,13569.558781699585,10992.25,13079746.0,01h 57m 22s
Feb 24 2011,8,4,1,7,8,1,1,13877.898765745711,11124.8,13506011.0,02h 11m 22s
Feb 25 2011,8,4,1,7,8,1,1,27755.886376222785,9700.19,48823668.0,02h 29m 42s
Feb 26 2011,8,4,1,7,8,1,1,15816.89835037811,9795.73,20287550.0,02h 07m 34s
Feb 27 2011,8,4,1,7,8,1,1,15158.441796559433,11538.95,15586107.0,01h 15m 31s
Feb 28 2011,8,4,1,7,8,1,1,26194.147344755947,10053.45,44298932.0,02h 39m 53s
Mar 01 2011,8,4,1,7,8,1,1,22978.008965088957,9556.35,37489568.0,02h 21m 43s
Mar 02 2011,8,4,1,7,8,1,1,18295.060100974362,10092.1,25367020.0,02h 07m 58s
Mar 03 2011,8,4,1,7,8,1,1,15614.484849618642,9924.0,19244272.0,02h 16m 23s
Mar 04 2011,8,4,1,7,8,1,1,18915.50751429417,12934.07,21590518.0,02h 26m 08s
Mar 05 2011,8,4,1,7,8,1,1,23018.912421190806,10043.38,36445456.0,01h 25m 02s
Mar 06 2011,8,4,1,7,8,1,1,22409.94427194328,9994.67,35020780.0,02h 43m 38s
Mar 07 2011,8,4,1,7,8,1,1,22999.969083101583,10607.43,35236224.0,01h 51m 40s
Mar 08 2011,8,4,1,7,8,1,1,15398.907387227096,11228.1,16010670.0,01h 42m 34s
Mar 09 2011,8,4,1,7,8,1,1,21224.83321659616,10329.26,31390740.0,02h 11m 38s
Mar 10 2011,8,4,1,7,8,1,1,22544.17170810538,10905.02,33387772.0,01h 54m 34s
Mar 11 2011,8,4,1,7,8,1,1,24745.42085620358,11103.64,38163624.0,02h 06m 16s
Mar 12 2011,8,4,1,7,8,1,1,20175.431399187626,11777.02,26004836.0,02h 00m 06s
Mar 13 2011,8,4,1,7,8,1,1,17167.557860847504,12545.14,17363562.0,01h 48m 09s
Mar 14 2011,8,4,1,7,8,1,1,13995.930920963514,11661.03,11408015.0,03h 44m 26s
Mar 15 2011,8,4,1,7,8,1,1,15810.635766801712,12407.77,14229290.0,01h 37m 39s
Mar 16 2011,8,4,1,7,8,1,1,17888.460245566228,12780.62,18367124.0,03h 46m 18s
Mar 17 2011,8,4,1,7,8,1,1,18790.843964244563,12318.23,21290066.0,01h 13m 04s
Mar 18 2011,8,4,1,7,8,1,1,21622.125151918626,12785.54,27030432.0,03h 59m 09s
Mar 19 2011,8,4,1,7,8,1,1,15471.481021718788,11832.21,14173427.0,01h 38m 54s
Mar 20 2011,8,4,1,7,8,1,1,18988.81429282922,12036.53,22039036.0,03h 54m 29s
Mar 21 2011,8,4,1,7,8,1,1,19291.278842860203,13018.36,20790970.0,04h 04m 46s
Mar 22 2011,8,4,1,7,8,1,1,21507.602302523308,12788.51,26396118.0,02h 01m 57s
Mar 23 2011,8,4,1,7,8,1,1,23571.012242568657,12104.42,32518610.0,04h 09m 30s
Mar 24 2011,8,4,1,7,8,1,1,23582.22284730885,12247.49,32183668.0,01h 16m 44s
Mar 25 2011,8,4,1,7,8,1,1,15178.351837867902,12906.58,10894800.0,01h 37m 46s
Mar 26 2011,8,4,1,7,8,1,1,16959.4441940653,12834.32,15168166.0,03h 27m 33s
Mar 27 2011,8,4,1,7,8,1,1,20570.67277957064,13231.92,22861340.0,02h 13m 08s
Mar 28 2011,8,4,1,7,8,1,1,18940.650222525677,13252.41,18864944.0,03h 22m 52s
Mar 29 2011,8,4,1,7,8,1,1,17058.584223330854,14469.45,11911779.0,03h 36m 50s
Mar 30 2011,8,4,1,7,8,1,1,17536.871487849414,13638.04,14590241.0,02h 10m 39s
Mar 31 2011,8,4,1,7,8,1,1,22452.852583595995,15084.58,23277724.0,02h 15m 57s
Apr 01 2011,8,4,1,7,8,1,1,25862.37487172329,14806.52,31810118.0,02h 22m 48s
Apr 02 2011,8,4,1,7,8,1,1,24392.88011836615,13680.46,30475594.0,02h 06m 30s
Apr 03 2011,8,4,1,7,8,1,1,23684.731059301062,11529.38,33017968.0,02h 03m 08s
Apr 04 2011,8,4,1,7,8,1,1,34385.69886384322,12845.47,55657332.0,02h 24m 53s
Apr 05 2011,8,4,1,7,8,1,1,42426.76789214308,15607.72,69052136.0,02h 01m 05s
Apr 06 2011,8,4,1,7,8,1,1,22651.10407016224,12373.14,28620298.0,02h 03m 04s
Apr 07 2011,8,4,1,7,8,1,1,17756.86304988883,14628.42,12347214.0,01h 38m 09s
Apr 08 2011,8,4,1,7,8,1,1,17453.74888151791,14246.94,12307386.0,01h 43m 46s
Apr 09 2011,8,4,1,7,8,1,1,22148.047554019155,16046.8,19654464.0,02h 17m 02s
Apr 10 2011,8,4,1,7,8,1,1,23954.618469624256,15249.31,25466492.0,02h 21m 07s
Apr 11 2011,8,4,1,7,8,1,1,34211.241989562,15776.11,48592576.0,01h 15m 33s
Apr 12 2011,8,4,1,7,8,1,1,26796.55403980053,13307.11,36013436.0,02h 19m 23s
Apr 13 2011,8,4,1,7,8,1,1,21103.393130678636,13406.3,22222184.0,02h 30m 42s
Apr 14 2011,8,4,1,7,8,1,1,19594.620931020225,14228.84,16844410.0,01h 46m 34s
Apr 15 2011,8,4,1,7,8,1,1,29478.26385701565,14978.41,38615460.0,01h 33m 56s
Apr 16 2011,8,4,1,7,8,1,1,35986.90354415521,13333.0,57391328.0,02h 06m 16s
Apr 17 2011,8,4,1,7,8,1,1,36241.22517913967,13753.36,57023268.0,01h 27m 03s
Apr 18 2011,8,4,1,7,8,1,1,23900.83897856131,16642.03,21591572.0,02h 29m 09s
Apr 19 2011,8,4,1,7,8,1,1,21351.298910562622,13253.73,22600854.0,01h 55m 52s
Apr 20 2011,8,4,1,7,8,1,1,29439.049931353275,16379.49,35060332.0,01h 59m 18s
Apr 21 2011,8,4,1,7,8,1,1,25030.469554482523,17189.6,22780506.0,01h 41m 56s
Apr 22 2011,8,4,1,7,8,1,1,22835.61163080071,15480.44,21112702.0,01h 51m 06s
Apr 23 2011,8,4,1,7,8,1,1,28625.741494637725,16674.32,32185646.0,01h 57m 09s
Apr 24 2011,8,4,1,7,8,1,1,25532.1380163536,17849.23,22224788.0,01h 46m 16s
Apr 25 2011,8,4,1,7,8,1,1,24820.044023403145,17502.15,21171056.0,01h 49m 46s
Apr 26 2011,8,4,1,7,8,1,1,34413.73810363257,18065.64,42588140.0,05h 48m 02s
Apr 27 2011,8,4,1,7,8,1,1,37642.335460664355,17378.83,51616260.0,05h 57m 17s
Apr 28 2011,8,4,1,7,8,1,1,37994.30952318275,15022.27,57459092.0,02h 09m 48s
Apr 29 2011,8,4,1,7,8,1,1,26661.657998228126,14548.61,31532810.0,01h 13m 09s
Apr 30 2011,8,4,1,7,8,1,1,23867.7437971736,14735.29,24413602.0,01h 57m 38s
May 01 2011,8,4,1,7,8,1,1,28075.026532141106,16124.71,31257222.0,01h 51m 44s
May 02 2011,8,4,1,7,8,1,1,21679.890982044504,15857.82,16586409.0,02h 06m 31s
May 03 2011,8,4,1,7,8,1,1,19941.56877445879,15557.52,13032740.0,02h 07m 42s
May 04 2011,8,4,1,7,8,1,1,21817.835987183105,15125.87,18342204.0,02h 14m 02s
May 05 2011,8,4,1,7,8,1,1,23109.86128293028,14819.92,21994482.0,02h 08m 31s
May 06 2011,8,4,1,7,8,1,1,23541.039907318824,17985.97,15908533.0,01h 50m 01s
May 07 2011,8,4,1,7,8,1,1,25024.419089785326,18192.76,18863376.0,01h 09m 01s
May 08 2011,8,4,1,7,8,1,1,22846.690670090702,19461.39,10770604.0,01h 53m 52s
May 09 2011,8,4,1,7,8,1,1,24246.349906667143,16094.25,21507032.0,01h 40m 08s
May 10 2011,8,4,1,7,8,1,1,26361.190759035355,16025.07,26587834.0,01h 32m 27s
May 11 2011,8,4,1,7,8,1,1,28900.6374542598,19169.62,25459466.0,01h 55m 24s
May 12 2011,8,4,1,7,8,1,1,26120.48898244906,19128.01,18860958.0,01h 40m 31s
May 13 2011,8,4,1,7,8,1,1,26555.03058651796,20436.43,16839018.0,02h 05m 02s
May 14 2011,8,4,1,7,8,1,1,25843.35884400225,17033.0,22744024.0,02h 53m 41s
May 15 2011,8,4,1,7,8,1,1,27301.505999092893,16177.93,28052870.0,01h 44m 10s
May 16 2011,8,4,1,7,8,1,1,25912.204770972974,15613.29,25961750.0,02h 47m 59s
May 17 2011,8,4,1,7,8,1,1,26487.926067560733,17857.83,22141068.0,01h 45m 29s
May 18 2011,8,4,1,7,8,1,1,28475.301927924353,21477.75,18509408.0,03h 25m 35s
May 19 2011,8,4,1,7,8,1,1,26803.08315974164,22171.96,12857851.0,02h 16m 38s
May 20 2011,8,4,1,7,8,1,1,24636.077579404544,21269.88,9685312.0,01h 05m 01s
May 21 2011,8,4,1,7,8,1,1,23646.169413324427,18459.03,13694030.0,01h 39m 29s
May 22 2011,8,4,1,7,8,1,1,27571.092749818497,20325.86,18625368.0,03h 27m 31s
May 23 2011,8,4,1,7,8,1,1,29768.46201006683,18962.67,26887928.0,01h 45m 52s
May 24 2011,8,4,1,7,8,1,1,30957.8902602053,21202.69,24459372.0,01h 46m 42s
May 25 2011,8,4,1,7,8,1,1,26450.30483167022,17670.32,21853814.0,01h 42m 00s
May 26 2011,8,4,1,7,8,1,1,27657.884456862706,16461.36,27446616.0,03h 26m 59s
May 27 2011,8,4,1,7,8,1,1,24772.042368385966,19199.64,14191033.0,03h 21m 52s
May 28 2011,8,4,1,7,8,1,1,24303.334223203623,18720.14,14122900.0,01h 48m 19s
May 29 2011,8,4,1,7,8,1,1,26740.213097744505,20279.7,16204098.0,02h 27m 58s
May 30 2011,8,4,1,7,8,1,1,23479.831191321762,16229.04,17844038.0,01h 33m 46s
May 31 2011,8,4,1,7,8,1,1,28084.95647492216,17920.57,24759784.0,03h 34m 56s
Jun 01 2011,8,4,1,7,8,1,1,31406.217719060147,16631.73,35587704.0,03h 44m 38s
Jun 02 2011,8,4,1,7,8,1,1,28100.77921637108,16881.89,27115484.0,03h 43m 10s
Jun 03 2011,8,4,1,7,8,1,1,23871.263006357178,16018.53,19062100.0,02h 09m 34s
Jun 04 2011,8,4,1,7,8,1,1,23760.59257842859,17783.63,14614858.0,03h 33m 01s
Jun 05 2011,8,4,1,7,8,1,1,21845.08741992856,18236.72,8962754.0,00h 59m 46s
Jun 06 2011,8,4,1,7,8,1,1,21782.14069686379,17127.13,11376010.0,03h 29m 54s
Jun 07 2011,8,4,1,7,8,1,1,22143.971596794814,16846.98,12852357.0,01h 39m 50s
Jun 08 2011,8,4,1,7,8,1,1,26073.034650871414,16783.83,22277868.0,01h 58m 31s
Jun 09 2011,8,4,1,7,8,1,1,26779.447049394064,18751.38,19279224.0,01h 40m 14s
Jun 10 2011,8,4,1,7,8,1,1,23873.879695569827,18714.17,12442726.0,01h 29m 56s
Jun 11 2011,8,4,1,7,8,1,1,25244.368582929863,20590.94,11226904.0,01h 42m 27s
Jun 12 2011,8,4,1,7,8,1,1,25520.616530140323,19542.98,14324184.0,01h 12m 20s
Jun 13 2011,8,4,1,7,8,1,1,23669.63445190737,18464.54,12456907.0,01h 48m 29s
Jun 14 2011,8,4,1,7,8,1,1,24312.716688921755,17830.86,15455855.0,01h 57m 09s
Jun 15 2011,8,4,1,7,8,1,1,24101.468351674077,17334.42,16109032.0,01h 58m 22s
Jun 16 2011,8,4,1,7,8,1,1,23927.477241847322,18701.89,12440979.0,01h 54m 42s
Jun 17 2011,8,4,1,7,8,1,1,25590.045817156035,19697.47,14007922.0,01h 53m 59s
Jun 18 2011,8,4,1,7,8,1,1,27616.44286771838,20291.66,17389916.0,01h 39m 17s
Jun 19 2011,8,4,1,7,8,1,1,28276.79085183616,20018.11,19592430.0,01h 57m 41s
Jun 20 2011,8,4,1,7,8,1,1,27562.857524435778,20044.76,17828892.0,01h 58m 00s
Jun 21 2011,8,4,1,7,8,1,1,29917.445813365182,20523.1,22272052.0,01h 31m 50s
Jun 22 2011,8,4,1,7,8,1,1,30943.873395245428,20884.14,23847812.0,01h 12m 02s
Jun 23 2011,8,4,1,7,8,1,1,28589.217719398832,20047.76,20250140.0,01h 46m 42s
Jun 24 2011,8,4,1,7,8,1,1,26877.748619896527,18783.42,19194516.0,01h 46m 20s
Jun 25 2011,8,4,1,7,8,1,1,26192.374339173257,19693.75,15419763.0,02h 05m 22s
Jun 26 2011,8,4,1,7,8,1,1,27588.14986212777,22252.14,12677739.0,01h 39m 44s
Jun 27 2011,8,4,1,7,8,1,1,28585.12260999169,21733.19,16286157.0,01h 37m 32s
Jun 28 2011,8,4,1,7,8,1,1,27984.858232729108,21035.88,16533024.0,01h 38m 56s
Jun 29 2011,8,4,1,7,8,1,1,24659.025127169138,17855.6,16197162.0,01h 46m 39s
Jun 30 2011,8,4,1,7,8,1,1,23075.276887159493,17326.63,13714982.0,01h 39m 13s
Jul 01 2011,8,4,1,7,8,1,1,24544.9419392643,18976.79,13320576.0,02h 06m 43s
Jul 02 2011,8,4,1,7,8,1,1,21474.23885355142,16941.37,10878433.0,00h 59m 27s
Jul 03 2011,8,4,1,7,8,1,1,23442.95538011712,18480.08,11939986.0,01h 28m 55s
Jul 04 2011,8,4,1,7,8,1,1,22526.384907660573,17816.95,11364594.0,01h 36m 50s
Jul 05 2011,8,4,1,7,8,1,1,23092.46450360295,18248.27,11724065.0,02h 08m 35s
Jul 06 2011,8,4,1,7,8,1,1,23939.381332024976,19090.62,11785554.0,02h 31m 30s
Jul 07 2011,8,4,1,7,8,1,1,25626.653169323512,20746.3,11931678.0,02h 29m 05s
Jul 08 2011,8,4,1,7,8,1,1,27942.848510512442,22034.33,14443547.0,01h 42m 37s
Jul 09 2011,8,4,1,7,8,1,1,28237.50556254253,19840.22,20349588.0,02h 35m 25s
Jul 10 2011,8,4,1,7,8,1,1,22844.63566954759,18037.86,11845220.0,01h 40m 18s
Jul 11 2011,8,4,1,7,8,1,1,24690.010257817372,19255.41,13417376.0,01h 03m 54s
Jul 12 2011,8,4,1,7,8,1,1,25233.12592151353,19242.79,14790448.0,01h 58m 04s
Jul 13 2011,8,4,1,7,8,1,1,23845.40293180677,19141.29,11796406.0,01h 35m 22s
Jul 14 2011,8,4,1,7,8,1,1,24073.20945454803,19290.44,12049065.0,01h 38m 47s
Jul 15 2011,8,4,1,7,8,1,1,24877.367844390777,20601.61,10963406.0,01h 29m 49s
Jul 16 2011,8,4,1,7,8,1,1,24898.823716402272,20697.08,10862631.0,01h 57m 35s
Jul 17 2011,8,4,1,7,8,1,1,23849.312023999326,19064.3,12241785.0,01h 51m 36s
Jul 18 2011,8,4,1,7,8,1,1,25718.764996927675,18947.06,17015408.0,01h 55m 05s
Jul 19 2011,8,4,1,7,8,1,1,22704.492877425382,17991.97,12153425.0,01h 53m 13s
Jul 20 2011,8,4,1,7,8,1,1,23208.56595192435,16942.13,15845910.0,00h 58m 26s
