start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,19,4,3,7,8,1,1,17044.50328988814,6027.9,31484030.0,02h 14m 07s
Jan 02 2011,19,4,3,7,8,1,1,14848.245602876532,6123.89,26124658.0,05h 15m 40s
Jan 03 2011,19,4,3,7,8,1,1,12391.98639964515,6542.61,19668690.0,01h 57m 35s
Jan 04 2011,19,4,3,7,8,1,1,10196.660444071098,6860.83,13977884.0,03h 23m 52s
Jan 05 2011,19,4,3,7,8,1,1,10866.841326059366,6529.56,16044167.0,01h 36m 20s
Jan 06 2011,19,4,3,7,8,1,1,11600.4778815979,7078.42,16949500.0,02h 07m 43s
Jan 07 2011,19,4,3,7,8,1,1,13984.729864585262,6140.83,23983442.0,01h 03m 09s
Jan 08 2011,19,4,3,7,8,1,1,16951.384008617933,6302.27,30758068.0,02h 01m 03s
Jan 09 2011,19,4,3,7,8,1,1,17010.574421806894,6929.15,29940782.0,03h 35m 33s
Jan 10 2011,19,4,3,7,8,1,1,12705.671218375233,6925.2,19720504.0,02h 11m 26s
Jan 11 2011,19,4,3,7,8,1,1,10707.652461481975,6109.64,16189380.0,01h 32m 36s
Jan 12 2011,19,4,3,7,8,1,1,21176.54382243781,6611.17,40230528.0,05h 22m 10s
Jan 13 2011,19,4,3,7,8,1,1,15404.238408261102,7031.76,25887996.0,01h 32m 27s
Jan 14 2011,19,4,3,7,8,1,1,8612.12847644362,8326.17,7799919.5,03h 29m 18s
Jan 15 2011,19,4,3,7,8,1,1,9835.065491302601,7181.44,12406866.0,03h 11m 23s
Jan 16 2011,19,4,3,7,8,1,1,10325.615279301062,6932.39,13921369.0,01h 24m 22s
Jan 17 2011,19,4,3,7,8,1,1,10548.906084403432,6715.35,14754490.0,01h 29m 03s
Jan 18 2011,19,4,3,7,8,1,1,18593.061715606233,6211.47,34567952.0,01h 52m 24s
Jan 19 2011,19,4,3,7,8,1,1,12817.779542891749,7571.41,18763006.0,01h 59m 57s
Jan 20 2011,19,4,3,7,8,1,1,9239.90097663151,7193.27,10830440.0,00h 57m 59s
Jan 21 2011,19,4,3,7,8,1,1,17140.822715741997,7458.35,29119162.0,02h 19m 27s
Jan 22 2011,19,4,3,7,8,1,1,14148.97167283647,7336.03,22181910.0,03h 11m 41s
