start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
May 12 2011,8,4,3,7,8,1,1
Feb 27 2011,19,4,1,7,8,1,1
Jun 02 2011,19,4,1,7,8,1,1
Sep 06 2011,19,4,1,7,8,1,1
Nov 11 2011,8,4,1,7,8,1,1
Jan 29 2011,19,4,4,7,8,99,1
Jan 14 2011,19,4,1,7,8,99,1
Aug 20 2011,19,4,3,7,8,1,1
Sep 26 2011,8,4,1,7,8,1,1
May 26 2011,8,4,3,7,8,1,1
Jul 31 2011,8,4,1,7,8,1,1
Nov 19 2011,19,4,4,7,8,1,1
Jun 02 2011,19,4,1,7,8,99,1
Oct 14 2011,8,4,4,5,8,99,1
Apr 25 2011,8,4,3,7,8,1,1
Jan 07 2011,19,4,4,7,8,99,1
Apr 20 2011,19,4,1,7,8,1,1
Mar 17 2011,19,4,1,7,8,99,1
Nov 05 2011,8,4,3,7,8,1,1
Dec 22 2011,8,4,1,7,8,1,1
Aug 19 2011,8,4,1,7,8,1,1
Oct 16 2011,8,4,1,7,8,1,1
Feb 19 2011,19,4,1,7,8,1,1
Nov 27 2011,19,4,3,7,8,1,1
Feb 19 2011,8,4,3,7,8,1,1
Jan 21 2011,19,4,4,7,8,99,1
Sep 01 2011,19,4,1,7,8,1,1
Mar 08 2011,8,4,4,7,8,1,1
Oct 04 2011,8,4,4,5,8,99,1
May 20 2011,19,4,4,7,8,99,1
Sep 27 2011,19,4,3,7,8,99,1
Aug 05 2011,19,4,4,7,10,99,1
Apr 30 2011,8,4,4,7,8,1,1
Dec 03 2011,19,4,1,7,8,99,1
May 29 2011,8,4,1,7,8,1,1
Feb 25 2011,8,4,1,7,8,99,1
Oct 22 2011,19,4,1,7,8,1,1
Aug 18 2011,19,4,1,7,8,99,1
May 19 2011,19,4,3,7,8,1,1
Jun 19 2011,8,4,3,7,8,1,1
Aug 24 2011,8,4,3,4,8,1,1
Aug 25 2011,19,4,4,7,8,99,1
Aug 16 2011,8,4,1,7,8,1,1
Nov 10 2011,19,4,1,7,8,99,1
Sep 03 2011,19,4,4,7,8,99,1
Jun 30 2011,8,4,1,7,8,1,1
May 30 2011,8,4,1,7,8,1,1
Dec 02 2011,19,4,4,7,8,99,1
Jan 14 2011,19,4,3,7,8,1,1
