start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Dec 08 2011,28,4,3,5,1,1,1
Sep 17 2011,8,5,1,7,8,99,1
Apr 22 2011,19,4,4,4,8,99,1
Aug 25 2011,14,1,5,7,7,14,1
Jul 19 2011,19,4,4,7,8,99,1
Sep 22 2011,8,5,1,5,8,1,1
Apr 10 2011,28,4,3,5,1,99,1
Jan 25 2011,8,5,1,7,8,1,1
Jul 19 2011,19,4,4,7,8,99,1
Aug 07 2011,19,4,4,7,8,99,1
Aug 09 2011,19,4,4,7,8,99,5
Apr 26 2011,2,1,4,1,5,99,1
Sep 17 2011,19,4,4,7,6,99,1
Oct 11 2011,19,4,4,7,8,99,1
Feb 05 2011,19,4,4,1,11,99,1
Sep 03 2011,28,4,3,5,1,99,1
Jul 23 2011,19,5,4,7,8,99,1
Jul 31 2011,8,4,1,7,8,1,1
Apr 23 2011,8,5,1,7,8,1,1
Jan 03 2011,6,7,1,2,6,1,5
Feb 11 2011,13,4,4,7,1,99,1
Dec 03 2011,28,4,3,5,8,99,1
Aug 31 2011,8,5,1,7,8,1,1
Jun 13 2011,19,4,3,7,8,99,1
Oct 19 2011,19,7,4,7,8,99,1
Sep 16 2011,6,4,1,2,6,1,5
Aug 15 2011,19,4,4,7,8,99,1
Dec 09 2011,13,4,4,7,8,99,1
Aug 27 2011,28,4,3,4,1,99,1
Aug 07 2011,14,31,4,5,6,99,5
Mar 04 2011,28,4,4,5,1,99,1
Oct 22 2011,19,4,3,7,8,99,1
Jun 01 2011,19,4,4,7,8,99,1
May 27 2011,13,4,4,7,8,99,1
Jun 16 2011,19,4,4,7,8,99,1
Dec 18 2011,19,4,4,7,8,99,1
Oct 07 2011,28,4,3,5,1,99,1
Sep 04 2011,28,4,3,5,1,99,1
Sep 24 2011,19,4,3,7,8,99,1
Sep 19 2011,8,5,1,7,8,1,1
May 21 2011,19,4,3,7,6,99,1
Dec 16 2011,28,4,4,5,1,99,1
Feb 03 2011,19,4,3,7,8,99,1
Oct 12 2011,8,5,1,5,8,1,1
Dec 10 2011,2,4,4,1,11,99,1
Aug 22 2011,19,1,4,1,5,99,5
Aug 06 2011,6,7,1,2,6,99,5
Dec 29 2011,19,4,4,7,8,1,1
Aug 20 2011,2,1,4,1,5,99,1
Oct 02 2011,28,4,3,5,1,99,5
Dec 26 2011,28,4,4,7,8,99,1
Jul 31 2011,19,4,4,7,8,99,1
Jun 09 2011,2,1,4,1,5,99,1
Nov 11 2011,8,5,1,7,8,1,5
Jan 02 2011,1,3,5,5,1,6,1
Mar 24 2011,28,4,1,2,1,99,1
Jun 17 2011,19,4,4,7,8,99,1
Feb 08 2011,19,4,4,7,8,99,1
Apr 19 2011,19,5,4,7,8,99,1
May 09 2011,8,4,1,7,8,1,1
Jan 31 2011,2,4,4,7,8,99,1
May 26 2011,28,1,4,1,5,99,5
Jul 06 2011,19,4,4,7,8,99,1
Mar 10 2011,19,4,4,7,8,99,1
Jul 14 2011,19,4,4,7,8,99,1
Mar 19 2011,19,4,4,7,8,99,1
Dec 12 2011,13,1,4,7,8,99,1
Jun 21 2011,14,4,5,4,7,14,1
May 16 2011,1,3,5,5,1,6,1
Jun 11 2011,28,4,3,2,1,99,1
Dec 22 2011,6,5,1,2,6,1,5
May 29 2011,8,7,1,7,8,1,1
Oct 14 2011,6,4,4,7,8,99,1
Nov 23 2011,13,7,1,2,6,1,5
Jun 24 2011,19,4,4,7,6,99,1
Sep 19 2011,19,4,3,7,8,99,1
Feb 05 2011,2,4,4,1,5,99,5
Sep 16 2011,19,1,4,7,8,99,1
Oct 19 2011,8,5,1,7,8,1,1
Mar 10 2011,19,4,4,7,8,99,1
May 02 2011,8,5,3,5,8,1,1
Jun 23 2011,28,4,1,5,1,99,1
Dec 22 2011,2,4,4,1,5,99,5
Jun 23 2011,19,1,3,7,8,99,1
Jan 27 2011,6,4,3,5,1,99,1
Oct 28 2011,28,7,1,2,6,1,5
Jun 30 2011,19,4,1,7,8,99,1
Sep 15 2011,8,5,4,7,8,1,1
Oct 14 2011,19,4,4,4,8,99,1
Jan 23 2011,13,3,5,7,2,99,2
Jan 06 2011,13,3,5,4,2,99,1
Dec 25 2011,19,4,4,7,8,99,2
Sep 12 2011,13,4,4,7,8,99,1
Jun 11 2011,19,4,4,7,8,99,1
Aug 25 2011,19,4,4,7,8,99,1
Aug 23 2011,14,1,5,4,7,14,1
Jun 24 2011,14,31,4,4,6,99,1
Aug 11 2011,19,4,4,1,11,99,5
