start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Sep 13 2011,10,99,3,4,8,94,1
Apr 06 2011,2,99,4,5,8,5,1
Nov 27 2011,51,1,3,5,1,11,1
Jun 13 2011,13,1,4,1,12,99,1
Oct 30 2011,18,99,4,1,12,99,1
Mar 13 2011,51,1,3,5,1,11,1
Dec 23 2011,2,99,4,1,12,99,1
Sep 18 2011,10,99,4,5,8,1,1
May 08 2011,51,1,3,4,1,11,1
Feb 03 2011,17,3,3,5,11,10,1
Dec 13 2011,2,99,4,1,11,94,1
Oct 04 2011,17,3,3,4,8,10,1
Nov 19 2011,13,1,4,1,12,99,1
Dec 02 2011,13,1,4,1,12,99,1
Mar 23 2011,2,99,4,1,12,94,1
Oct 17 2011,17,3,3,1,8,10,1
Aug 31 2011,17,3,3,4,11,99,1
Jun 02 2011,13,99,4,1,12,10,1
Mar 10 2011,2,99,4,5,12,94,1
Jul 28 2011,13,99,4,1,8,99,1
Feb 22 2011,50,1,1,4,12,1,10
Mar 29 2011,13,1,4,1,10,99,1
Mar 15 2011,2,99,1,5,8,94,1
Mar 28 2011,13,1,4,4,10,1,10
Jun 12 2011,17,1,3,1,12,10,1
Jan 22 2011,13,3,4,1,12,99,1
Dec 15 2011,13,1,4,1,12,99,1
Dec 24 2011,50,1,4,1,12,99,1
Nov 26 2011,21,4,3,4,12,11,1
Jan 10 2011,13,99,4,1,12,99,1
Jan 31 2011,10,99,3,5,8,5,1
Sep 10 2011,10,3,3,4,8,5,1
May 15 2011,13,99,4,1,12,5,1
Oct 29 2011,10,3,3,4,8,99,1
Jun 30 2011,17,99,3,4,11,10,1
Sep 06 2011,2,3,4,5,8,5,1
Oct 05 2011,17,1,4,1,12,99,1
May 13 2011,13,3,3,4,11,10,1
Dec 25 2011,2,99,4,5,8,10,1
Nov 27 2011,17,3,3,4,11,1,1
Feb 05 2011,18,99,1,1,9,7,1
Mar 08 2011,2,7,4,1,8,94,1
Aug 30 2011,13,1,4,1,12,99,1
Jun 18 2011,17,3,3,1,12,10,1
May 04 2011,18,7,1,1,11,7,1
Nov 09 2011,17,3,3,4,9,10,1
Apr 07 2011,2,1,4,1,12,99,1
Jun 02 2011,13,99,4,5,8,94,1
Oct 31 2011,2,99,1,1,8,94,1
Nov 27 2011,50,4,4,4,10,1,10
Jul 04 2011,2,99,4,5,8,94,1
Aug 22 2011,2,99,4,1,8,94,1
Feb 07 2011,51,1,4,1,12,99,1
Jun 27 2011,13,1,3,5,1,11,1
Apr 15 2011,10,99,3,5,8,5,1
Aug 04 2011,10,99,3,5,8,5,1
Oct 22 2011,17,3,3,4,12,10,1
Jun 29 2011,13,99,4,1,11,99,1
Apr 13 2011,10,99,3,5,8,5,1
Nov 14 2011,10,99,3,5,8,5,1
Aug 07 2011,50,1,3,1,12,99,1
Mar 01 2011,10,99,4,4,8,5,1
Aug 12 2011,2,99,4,1,8,94,1
Apr 02 2011,13,1,4,1,12,99,1
Oct 16 2011,13,1,4,1,12,99,1
Dec 01 2011,13,1,4,1,12,99,1
Jan 28 2011,10,99,3,5,12,5,1
Oct 30 2011,13,1,4,1,8,99,1
Mar 10 2011,50,1,3,4,10,1,10
Jun 11 2011,10,3,1,4,8,5,1
Jun 18 2011,17,3,3,4,12,10,1
Jul 16 2011,17,3,3,1,11,10,1
Feb 05 2011,2,99,4,1,8,94,1
Oct 26 2011,13,99,4,1,12,99,1
Apr 13 2011,13,1,4,1,12,99,1
Apr 20 2011,10,99,3,5,8,5,1
Jan 24 2011,10,99,3,4,8,99,1
May 18 2011,13,1,4,1,12,5,1
Dec 05 2011,2,99,3,1,8,94,1
Oct 24 2011,10,99,4,5,8,5,1
Jan 27 2011,17,3,3,4,11,10,1
Apr 14 2011,17,3,3,4,11,10,1
Mar 30 2011,13,1,3,1,12,99,1
Aug 22 2011,10,99,4,5,8,5,1
Nov 03 2011,13,99,4,5,12,99,1
Sep 04 2011,51,1,3,1,1,11,1
Aug 18 2011,2,99,4,1,8,94,1
Mar 03 2011,2,99,3,5,8,94,1
Jul 10 2011,10,99,1,4,8,5,1
Aug 25 2011,18,7,3,1,9,7,1
Sep 27 2011,17,4,4,7,12,16,1
Dec 19 2011,2,99,2,1,8,94,1
Oct 22 2011,13,99,4,1,12,10,1
Feb 15 2011,17,3,3,4,11,99,1
Mar 01 2011,2,99,4,5,8,94,1
Jun 27 2011,2,99,4,5,8,1,1
Apr 09 2011,18,99,1,1,9,7,1
Jan 14 2011,13,7,4,1,12,99,1
Oct 18 2011,13,1,4,1,12,99,1
May 29 2011,13,1,4,1,12,99,1
Jul 12 2011,13,1,4,1,12,99,1
Apr 09 2011,17,4,2,7,12,16,1
Apr 09 2011,17,1,4,1,12,99,1
Sep 16 2011,13,3,3,4,11,10,1
Jul 21 2011,2,99,4,1,9,94,1
Mar 06 2011,18,7,1,1,8,7,1
Jan 16 2011,17,3,3,1,10,10,1
Jan 18 2011,50,1,1,4,12,1,10
Sep 26 2011,13,3,4,1,12,99,1
Jun 24 2011,17,99,3,1,12,10,1
Aug 26 2011,17,1,3,4,11,10,1
Jun 12 2011,51,3,3,5,1,11,1
Apr 05 2011,13,99,4,1,12,99,1
Jan 10 2011,13,1,4,1,12,99,1
Sep 10 2011,50,1,1,4,10,5,10
Dec 06 2011,10,99,3,4,8,1,1
Apr 07 2011,13,1,4,1,12,94,1
Dec 15 2011,2,99,4,5,8,99,1
Mar 04 2011,50,3,3,4,11,10,1
Sep 22 2011,17,1,4,1,12,99,1
Oct 20 2011,21,4,3,4,12,11,1
May 17 2011,13,99,4,1,12,99,1
Mar 05 2011,13,3,3,4,11,10,1
Nov 17 2011,17,1,4,1,12,99,1
Jul 09 2011,2,99,4,1,12,94,1
Nov 07 2011,13,1,4,1,8,99,1
Aug 11 2011,17,3,3,4,11,10,1
Oct 07 2011,21,4,3,4,12,10,1
Oct 09 2011,17,3,3,4,11,10,1
Nov 26 2011,10,99,3,4,8,5,1
Apr 03 2011,18,7,1,1,9,7,1
Jun 28 2011,13,1,4,1,12,99,1
Jun 11 2011,17,99,3,5,8,5,1
Apr 08 2011,10,3,3,1,12,10,1
Apr 07 2011,50,1,1,4,12,1,10
Jul 04 2011,13,1,4,1,10,99,1
Nov 18 2011,18,7,1,1,11,7,1
Mar 28 2011,17,3,3,4,9,10,1
Jul 09 2011,18,7,1,1,9,10,1
Oct 14 2011,17,3,3,1,12,7,1
Apr 23 2011,17,3,3,4,11,99,1
Feb 14 2011,50,1,4,1,12,10,1
Oct 14 2011,10,99,3,4,11,5,1
May 18 2011,17,3,3,4,8,10,1
Jul 08 2011,13,99,4,1,9,99,1
Apr 17 2011,18,7,1,1,12,7,1
Mar 30 2011,50,1,4,1,12,94,1
Feb 26 2011,2,99,4,1,8,99,1
Mar 29 2011,13,99,4,1,12,99,1
Oct 02 2011,17,3,3,1,12,10,1
Jul 07 2011,13,1,4,1,12,11,1
Jun 11 2011,51,1,3,5,1,99,1
Jul 01 2011,17,3,3,1,12,10,1
Jan 06 2011,17,3,3,1,12,10,1
Oct 21 2011,51,1,3,5,9,11,1
Dec 15 2011,18,7,1,1,1,7,1
Apr 16 2011,13,1,4,1,12,99,1
Feb 09 2011,13,99,4,1,12,99,1
Jan 25 2011,17,3,3,1,12,10,10
Apr 24 2011,13,1,1,4,10,1,1
Jan 12 2011,2,99,4,5,8,94,1
Jun 10 2011,10,99,3,5,8,5,1
Aug 15 2011,13,1,4,1,12,10,1
Jan 18 2011,17,3,3,4,11,99,1
Dec 13 2011,13,1,4,4,12,99,1
Oct 09 2011,21,4,3,1,12,11,1
Apr 14 2011,50,1,4,1,1,99,1
May 20 2011,51,1,3,5,12,11,1
Jan 08 2011,2,99,4,1,12,99,1
Aug 17 2011,13,99,4,5,8,94,1
Sep 26 2011,17,3,3,1,12,10,1
Oct 14 2011,13,1,4,1,12,99,1
Nov 26 2011,18,99,4,1,12,99,1
Apr 06 2011,2,99,4,1,8,94,1
Apr 11 2011,2,99,4,1,8,94,10
Aug 15 2011,50,1,1,4,10,1,1
May 11 2011,17,3,3,1,8,10,1
May 07 2011,2,1,4,5,12,94,1
Nov 08 2011,13,1,4,1,12,99,1
Apr 15 2011,50,1,4,1,12,99,1
Feb 11 2011,2,99,4,1,8,94,1
Feb 15 2011,13,99,4,1,12,99,1
Mar 05 2011,17,3,3,1,12,16,1
Feb 09 2011,17,4,2,7,12,10,1
Jan 14 2011,13,99,4,1,12,99,1
Jan 20 2011,13,1,4,1,12,99,1
Jan 28 2011,2,99,4,1,8,94,1
Dec 02 2011,17,3,3,1,12,10,1
Dec 21 2011,10,3,3,4,8,5,1
Dec 02 2011,51,1,3,5,1,11,1
Jan 28 2011,2,99,4,5,8,94,1
Nov 22 2011,17,3,3,4,11,10,1
Dec 06 2011,50,1,4,1,12,99,1
Jan 20 2011,18,7,1,1,9,7,1
Jan 20 2011,50,1,1,4,10,1,10
Jan 25 2011,10,99,3,5,8,5,1
Dec 06 2011,18,99,4,1,12,99,1
Jan 16 2011,21,99,3,4,12,10,1
Dec 18 2011,2,99,4,5,8,1,1
Jan 31 2011,17,4,2,7,12,16,1
