start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Jan 19 2011,19,4,1,7,8,99,1
May 08 2011,19,4,4,7,8,1,1
Jun 13 2011,19,4,3,7,8,99,1
Feb 18 2011,8,4,1,7,8,99,1
Nov 30 2011,19,4,4,7,8,1,1
Mar 18 2011,8,4,1,7,8,99,1
Nov 11 2011,19,4,4,5,8,99,1
Jun 24 2011,19,4,4,7,8,99,1
Apr 07 2011,19,4,4,7,8,99,1
Dec 20 2011,19,4,3,7,8,99,1
Dec 25 2011,8,4,1,7,8,1,1
Aug 26 2011,8,4,1,7,8,1,1
May 17 2011,8,4,4,7,8,1,1
Dec 18 2011,19,4,1,7,8,99,1
Nov 21 2011,8,4,1,7,8,1,1
Mar 27 2011,8,4,1,7,8,1,1
Dec 24 2011,8,4,1,7,8,1,1
Oct 21 2011,19,4,3,7,8,99,1
Feb 25 2011,19,4,4,7,8,99,1
Apr 17 2011,8,4,1,7,8,1,1
Jul 13 2011,19,4,1,7,8,1,1
Sep 09 2011,8,4,7,7,8,99,1
May 28 2011,19,4,4,7,8,99,1
Jul 19 2011,19,4,4,7,8,99,1
Jul 28 2011,8,4,1,7,8,1,1
Nov 04 2011,8,4,1,7,8,1,1
Dec 06 2011,8,4,4,5,8,99,1
Jun 25 2011,19,1,3,7,8,99,1
Jan 08 2011,8,1,4,5,8,99,1
Jan 02 2011,19,4,4,7,8,99,1
Feb 07 2011,19,4,4,7,8,99,1
Dec 22 2011,8,4,1,7,8,1,1
Nov 12 2011,8,4,4,7,8,1,1
Jan 12 2011,19,4,1,7,8,99,1
Feb 05 2011,8,4,3,7,8,1,1
Jun 24 2011,19,4,1,7,8,99,1
Feb 23 2011,14,4,5,7,7,99,1
Jun 09 2011,19,4,4,7,8,14,1
Sep 21 2011,8,4,1,7,8,99,1
Apr 09 2011,19,4,3,7,8,1,1
Aug 09 2011,19,4,4,7,8,99,1
Oct 26 2011,19,4,4,7,8,99,1
Feb 01 2011,8,4,1,7,8,1,1
Jan 02 2011,19,4,4,7,8,99,1
May 24 2011,19,4,4,7,8,99,1
Feb 06 2011,19,4,4,7,8,99,1
Jun 05 2011,8,4,1,7,8,1,1
Dec 16 2011,19,4,3,7,8,99,1
May 17 2011,19,4,1,7,8,99,1
Jan 14 2011,19,4,3,7,8,1,1
May 19 2011,19,4,4,7,8,99,1
