start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Dec 17 2011,2,4,3,1,1,5,1,459.3394668507615,01h 33m 35s
Aug 24 2011,8,7,1,1,5,93,1,1238.8639177379948,01h 01m 35s
Oct 07 2011,19,3,3,1,1,10,1,710.5790047343289,00h 53m 59s
Sep 29 2011,8,7,1,1,1,93,1,827.6401149927183,02h 42m 07s
Nov 01 2011,51,3,1,1,1,6,1,881.3092029796732,00h 51m 43s
May 20 2011,8,7,3,1,8,10,1,924.9962154246383,01h 46m 06s
Dec 14 2011,19,3,3,1,1,10,1,468.8331734410008,01h 14m 49s
Jun 29 2011,19,7,3,1,1,10,1,955.8054202727064,01h 30m 57s
Jan 26 2011,19,3,3,1,1,10,1,723.5649265662787,01h 19m 01s
Aug 05 2011,9,7,1,1,1,93,1,866.3676070212539,01h 39m 37s
Oct 18 2011,19,3,5,1,1,10,1,1111.1454628642095,01h 21m 50s
Jan 11 2011,10,5,3,1,11,6,1,545.7995577483103,01h 30m 06s
Nov 05 2011,1,4,3,2,7,94,1,1103.6075591954348,01h 33m 35s
Mar 22 2011,2,4,3,1,5,5,1,1348.4056935135004,01h 18m 06s
Dec 01 2011,9,3,99,1,1,10,1,586.5877234156078,00h 56m 36s
Mar 26 2011,19,7,3,1,1,11,1,864.3393610191192,01h 32m 52s
Aug 04 2011,2,4,3,1,5,5,1,851.3057204745406,01h 14m 51s
Jun 05 2011,2,4,3,1,5,5,1,869.311015407229,01h 41m 47s
Feb 16 2011,51,3,1,1,8,6,1,831.587650269415,01h 11m 18s
Feb 16 2011,51,4,3,1,5,5,1,1263.552535637641,00h 52m 57s
Sep 21 2011,8,7,3,1,1,10,1,800.6178250453106,01h 55m 19s
Dec 19 2011,9,24,1,1,12,5,1,851.9424171793553,02h 11m 05s
Feb 18 2011,2,4,3,1,7,5,1,1650.2830292950343,01h 44m 04s
Feb 26 2011,2,4,3,1,7,5,1,787.7839174429212,00h 48m 55s
Sep 24 2011,8,7,3,1,1,11,1,696.7474621909179,02h 04m 20s
Jan 17 2011,5,3,3,1,1,10,1,539.203387495166,00h 29m 25s
Dec 05 2011,19,3,3,1,1,10,1,608.0440768472272,01h 14m 41s
Nov 15 2011,22,24,99,1,11,3,1,841.3235335197687,02h 06m 41s
Sep 01 2011,17,4,99,1,1,11,1,762.8689181567283,01h 35m 14s
Feb 16 2011,2,3,3,1,5,5,1,1293.6541128807137,01h 41m 39s
Oct 28 2011,51,3,1,1,8,93,1,606.482366968701,00h 58m 46s
Nov 08 2011,8,7,1,1,7,6,1,692.5013457943448,01h 43m 56s
Aug 31 2011,8,7,3,1,1,10,1,757.2533598085968,01h 21m 30s
Apr 02 2011,19,7,3,1,1,10,1,1093.3039318212573,01h 30m 43s
Oct 21 2011,8,4,3,1,5,5,1,751.3076695797001,03h 57m 12s
Jan 20 2011,17,3,99,1,1,11,1,512.4294960569234,01h 40m 28s
Nov 17 2011,8,7,3,1,1,10,1,874.0664730296546,01h 00m 41s
Jan 10 2011,8,7,3,1,1,10,1,686.1830966125289,01h 49m 17s
Nov 12 2011,9,3,1,1,1,11,1,845.1584537994089,01h 07m 50s
Feb 20 2011,8,7,99,1,5,93,1,1533.5859045148118,01h 31m 51s
Nov 02 2011,8,7,1,1,1,93,1,703.2435809684598,01h 39m 15s
Apr 08 2011,9,3,99,1,1,11,1,841.1952493388338,02h 06m 13s
Aug 01 2011,9,3,99,1,7,11,1,6.0219999999999996e+23,00h 00m 00s
Mar 03 2011,8,7,1,1,1,93,1,868.2631204170599,02h 21m 49s
Feb 20 2011,19,3,3,1,1,10,1,1171.1102379730582,00h 37m 08s
May 18 2011,17,3,3,1,1,11,1,1132.0724175819441,01h 14m 52s
Oct 01 2011,2,4,3,1,5,5,1,940.7655216172535,01h 51m 06s
Apr 20 2011,9,24,1,1,12,5,1,1242.964686906746,02h 43m 48s
Jan 19 2011,9,3,99,1,1,11,1,645.4691102695979,02h 04m 46s
Jun 09 2011,17,3,3,1,1,11,1,1037.6773849162923,01h 37m 56s
May 27 2011,51,4,3,1,5,5,1,990.1826861807938,00h 57m 37s
Mar 14 2011,17,3,3,1,1,11,1,688.3075099833036,01h 55m 34s
Jul 31 2011,2,4,3,1,7,5,1,706.7052474392362,01h 34m 10s
Jan 14 2011,51,4,3,1,5,5,1,444.81758782965636,02h 09m 35s
Jul 29 2011,9,7,99,1,1,11,1,881.4980581532411,05h 18m 37s
Oct 19 2011,19,7,3,1,1,10,1,1351.6616560608318,00h 51m 43s
Jul 29 2011,19,4,3,1,1,10,1,936.7615221686608,01h 17m 48s
Apr 27 2011,2,3,3,1,5,5,1,1934.1107098579255,01h 46m 46s
Sep 25 2011,51,3,1,1,8,6,1,6.024035819294183e+23,04h 26m 27s
Aug 05 2011,2,4,3,1,5,5,1,871.4509401371622,01h 46m 33s
Sep 14 2011,8,7,3,1,1,10,1,921.1250426685331,05h 09m 04s
Mar 18 2011,51,4,3,1,5,5,1,1600.3580250835194,04h 54m 55s
Mar 12 2011,19,3,3,1,1,10,1,1027.957244070822,00h 52m 07s
Feb 04 2011,19,3,3,1,1,10,1,6.024035819294183e+23,00h 39m 41s
Nov 15 2011,19,3,3,1,1,10,1,796.1071327205295,00h 48m 56s
Dec 20 2011,8,7,3,1,1,10,1,645.4524745951346,01h 52m 34s
Jul 10 2011,22,24,99,1,11,3,1,947.8097336953068,00h 51m 16s
Mar 15 2011,2,4,3,1,5,5,1,1060.211190477209,01h 52m 01s
Feb 18 2011,2,1,3,1,5,5,1,2329.5306020964335,01h 48m 47s
Apr 23 2011,5,3,3,1,1,11,1,1354.3234445822313,01h 01m 17s
Sep 22 2011,8,7,3,1,1,10,1,752.2402658754986,00h 59m 42s
Feb 09 2011,2,4,3,1,7,5,1,1032.5610025385804,01h 36m 21s
Apr 08 2011,22,24,99,1,11,3,1,872.7926766540147,01h 42m 35s
Mar 13 2011,8,7,1,1,5,93,1,1079.6922829371342,01h 24m 45s
Feb 11 2011,8,7,3,1,1,10,1,662.3105835029426,02h 39m 09s
Mar 08 2011,19,3,3,1,1,10,1,791.3768443841268,00h 46m 38s
Jun 28 2011,8,7,3,1,1,10,1,1122.710085270756,01h 47m 02s
Nov 29 2011,8,7,99,1,1,93,1,905.3974527021753,01h 50m 24s
May 24 2011,9,3,3,1,1,11,1,1248.8819006125573,01h 04m 41s
Dec 24 2011,8,7,3,1,1,10,1,483.6855532007769,01h 42m 36s
Mar 01 2011,51,3,1,1,8,6,1,991.9285143371712,01h 26m 57s
